ICPSR,name,party,state,recipient.cfscore,recipient.cfscore.dyn,contributor.cfscore,irt.cfscore,composite.score
14226.0,"grassley, charles e",200,IA,1.003,0.761,,0.597,2.293481102117
14307.0,"leahy, patrick j",100,VT,-0.78,-0.856,-0.483,-0.564,-2.57446885513485
14435.0,"markey, edward john",100,MA,-0.718,-0.696,-0.638,-0.532,-3.12130197681314
14852.0,"roberts, pat",200,KS,1.073,0.991,1.133,0.858,2.46110806172057
14858.0,"schumer, charles e",100,NY,-0.624,-0.929,-0.688,-0.557,-2.55792305889335
14871.0,"wyden, ronald l",100,OR,-0.509,-0.852,-0.72,-0.403,-2.2442452171843
14921.0,"mcconnell, mitch",200,KY,1.072,0.594,1.171,0.877,2.52499736477346
15015.0,"carper, thomas r",100,DE,-0.465,-0.584,-0.657,-0.382,-1.72654181425717
15021.0,"durbin, richard j",100,IL,-0.769,-0.983,-0.743,-0.508,-2.61567496031
15408.0,"cardin, benjamin l",100,MD,-0.492,-0.518,-0.699,-0.197,-2.47549441331301
15424.0,"inhofe, james m sen",200,OK,1.119,0.975,1.383,1.064,3.03355868027363
20101.0,"boozman, john",200,AR,1.019,0.873,1.112,0.946,2.43823580357595
20146.0,"capito, shelley moore",200,WV,0.87,0.932,1.25,0.854,1.86637005567323
20330.0,"van hollen, chris",100,MD,-0.82,-0.955,-0.769,-1.162,-2.75273046216259
20351.0,"blackburn, marsha",200,TN,1.273,1.3,1.261,0.944,3.35438987421524
20707.0,"murphy, christopher s",100,CT,-1.006,-1.038,-0.899,-1.113,-2.67704806424474
20713.0,"hirono, mazie",100,HI,-0.85,-0.856,-0.775,-1.259,-3.26579157330911
20735.0,"gillibrand, kirsten elizabeth",100,NY,-0.958,-1.02,-0.782,-1.154,-3.03848969853168
20919.0,"cassidy, william m",200,LA,0.97,0.874,0.836,0.923,2.27882998039044
20923.0,"peters, gary",100,MI,-0.903,-0.818,-0.678,-1.858,-2.44668418312589
20930.0,"heinrich, martin trevor",100,NM,-0.892,-0.895,-0.817,-1.659,-2.62018169909428
21112.0,"gardner, cory",200,CO,1.271,0.961,1.355,,2.96716093397177
21133.0,"young, todd christopher",200,IN,1.156,0.813,1.241,,2.67668696643504
21166.0,"lankford, james paul",200,OK,1.132,1.009,1.146,,3.05888384575516
21173.0,"scott, timothy e",200,SC,1.311,0.746,1.101,,3.52007809612381
21300.0,"sinema, kyrsten",100,AZ,-0.482,-0.638,-0.752,,-1.84483914354752
21301.0,"cotton, thomas",200,AR,1.28,1.075,1.044,,3.21825003144371
21325.0,"duckworth, l tammy",100,IL,-1.033,-1.054,-0.987,,-2.96647327250169
21338.0,"daines, steven",200,MT,1.329,1.099,1.319,,3.16054281151513
21350.0,"cramer, kevin",200,ND,1.305,1.356,1.39,,2.57335979123018
21501.0,"mcsally, martha",200,AZ,1.482,1.363,1.548,,2.70030995873313
21743.0,"rosen, jacky",100,NV,-0.993,-1.004,-0.864,,-2.76228290519157
29142.0,"reed, john f",100,RI,-0.582,-0.662,-0.716,-0.547,-2.34697273838453
29147.0,"sanders, bernard",100,VT,-1.141,-1.126,-0.889,,-3.37629470358223
29345.0,"crapo, michael",200,ID,0.924,0.634,1.255,0.763,2.92602268032928
29373.0,"menendez, robert",100,NJ,-0.354,-0.39,-0.51,-0.678,-2.3375820404169
29386.0,"portman, rob",200,OH,0.974,0.834,0.53,0.894,1.84898241190012
29389.0,"brown, sherrod",100,OH,-0.767,-0.695,-0.597,-0.555,-2.84513833636356
29534.0,"wicker, roger f",200,MS,1.107,1.073,1.344,0.96,2.35027138018101
29548.0,"burr, richard m",200,NC,1.096,0.815,1.267,0.593,2.67183778879547
29566.0,"graham, lindsey o",200,SC,1.106,0.19,1.248,0.86,2.51208973894445
29722.0,"moran, jerry",200,KS,1.057,0.671,1.239,0.708,2.56337845400896
29732.0,"stabenow, debbie",100,MI,-0.768,-0.788,-0.492,-1.327,-2.57789727367385
29735.0,"blunt, roy",200,MO,1.038,0.874,,0.722,2.32620088858019
29754.0,"thune, john",200,SD,1.204,1.139,1.141,1.38,2.5244342922325
29909.0,"isakson, john hardy",200,GA,1.078,1.081,1.176,0.606,2.40178227619534
29924.0,"udall, tom",100,NM,-0.875,-1.021,-0.78,-1.145,-2.83016890464844
29935.0,"toomey, patrick joseph",200,PA,1.136,1.026,1.335,1.131,3.17784338070642
29940.0,"baldwin, tammy",100,WI,-1.113,-1.104,-0.964,-1.454,-3.47897873325924
39310.0,"cantwell, maria",100,WA,-0.857,-0.893,-0.834,-0.768,-2.49049221286969
40300.0,"murkowski, lisa",200,AK,0.589,0.462,1.047,,1.23424208441457
40304.0,"alexander, lamar",200,TN,0.958,0.53,1.137,0.87,2.04207538082976
40305.0,"cornyn, john",200,TX,1.264,1.04,1.355,0.963,2.92391711091133
40700.0,"klobuchar, amy",100,MN,-0.907,-0.855,-0.873,-1.979,-2.58416193759246
40702.0,"tester, jon",100,MT,-0.914,-0.815,-0.757,-2.013,-2.09223441894161
40703.0,"casey, robert p jr",100,PA,-0.794,-0.671,-0.669,-2.192,-2.47052790121187
40704.0,"whitehouse, sheldon ii",100,RI,-0.836,-0.86,-0.766,,-2.74700611302177
40707.0,"barrasso, john a",200,WY,1.067,0.866,1.15,0.849,2.66591442029685
40902.0,"risch, james e",200,ID,0.927,0.622,1.086,1.007,2.64679280206299
40906.0,"shaheen, jeanne",100,NH,-0.905,-0.942,-1.136,-1.813,-2.47419529824529
40908.0,"merkley, jeffrey alan",100,OR,-1.045,-1.108,-1.026,-1.991,-3.23217588200659
