ICPSR,name,party,state,recipient.cfscore,recipient.cfscore.dyn,contributor.cfscore,irt.cfscore,composite.score,bioname
14226,"grassley, charles e",200,IA,1.003,0.761,,0.597,2.293481102,"GRASSLEY, Charles Ernest"
14307,"leahy, patrick j",100,VT,-0.78,-0.856,-0.483,-0.564,-2.574468855,"LEAHY, Patrick Joseph"
14435,"markey, edward john",100,MA,-0.718,-0.696,-0.638,-0.532,-3.121301977,"MARKEY, Edward John"
14852,"roberts, pat",200,KS,1.073,0.991,1.133,0.858,2.461108062,"ROBERTS, Charles Patrick (Pat)"
14858,"schumer, charles e",100,NY,-0.624,-0.929,-0.688,-0.557,-2.557923059,"SCHUMER, Charles Ellis (Chuck)"
14871,"wyden, ronald l",100,OR,-0.509,-0.852,-0.72,-0.403,-2.244245217,"WYDEN, Ronald Lee"
14921,"mcconnell, mitch",200,KY,1.072,0.594,1.171,0.877,2.524997365,"McCONNELL, Addison Mitchell (Mitch)"
15015,"carper, thomas r",100,DE,-0.465,-0.584,-0.657,-0.382,-1.726541814,"CARPER, Thomas Richard"
15021,"durbin, richard j",100,IL,-0.769,-0.983,-0.743,-0.508,-2.61567496,"DURBIN, Richard Joseph"
15408,"cardin, benjamin l",100,MD,-0.492,-0.518,-0.699,-0.197,-2.475494413,"CARDIN, Benjamin Louis"
15424,"inhofe, james m sen",200,OK,1.119,0.975,1.383,1.064,3.03355868,"INHOFE, James Mountain"
20101,"boozman, john",200,AR,1.019,0.873,1.112,0.946,2.438235804,"BOOZMAN, John"
20146,"capito, shelley moore",200,WV,0.87,0.932,1.25,0.854,1.866370056,"CAPITO, Shelley Moore"
20330,"van hollen, chris",100,MD,-0.82,-0.955,-0.769,-1.162,-2.752730462,"VAN HOLLEN, Christopher"
20351,"blackburn, marsha",200,TN,1.273,1.3,1.261,0.944,3.354389874,"BLACKBURN, Marsha"
20707,"murphy, christopher s",100,CT,-1.006,-1.038,-0.899,-1.113,-2.677048064,"MURPHY, Christopher"
20713,"hirono, mazie",100,HI,-0.85,-0.856,-0.775,-1.259,-3.265791573,"HIRONO, Mazie"
20735,"gillibrand, kirsten elizabeth",100,NY,-0.958,-1.02,-0.782,-1.154,-3.038489699,"GILLIBRAND, Kirsten"
20919,"cassidy, william m",200,LA,0.97,0.874,0.836,0.923,2.27882998,"CASSIDY, Bill"
20923,"peters, gary",100,MI,-0.903,-0.818,-0.678,-1.858,-2.446684183,"PETERS, Gary C."
20930,"heinrich, martin trevor",100,NM,-0.892,-0.895,-0.817,-1.659,-2.620181699,"HEINRICH, Martin"
21112,"gardner, cory",200,CO,1.271,0.961,1.355,,2.967160934,"GARDNER, Cory"
21133,"young, todd christopher",200,IN,1.156,0.813,1.241,,2.676686966,"YOUNG, Todd"
21166,"lankford, james paul",200,OK,1.132,1.009,1.146,,3.058883846,"LANKFORD, James"
21173,"scott, timothy e",200,SC,1.311,0.746,1.101,,3.520078096,"SCOTT, Tim"
21300,"sinema, kyrsten",100,AZ,-0.482,-0.638,-0.752,,-1.844839144,"SINEMA, Kyrsten"
21301,"cotton, thomas",200,AR,1.28,1.075,1.044,,3.218250031,"COTTON, Tom"
21325,"duckworth, l tammy",100,IL,-1.033,-1.054,-0.987,,-2.966473273,"DUCKWORTH, Tammy"
21338,"daines, steven",200,MT,1.329,1.099,1.319,,3.160542812,"DAINES, Steve"
21350,"cramer, kevin",200,ND,1.305,1.356,1.39,,2.573359791,"CRAMER, Kevin"
21501,"mcsally, martha",200,AZ,1.482,1.363,1.548,,2.700309959,"McSALLY, Martha"
21743,"rosen, jacky",100,NV,-0.993,-1.004,-0.864,,-2.762282905,"ROSEN, Jacklyn Sheryl"
29142,"reed, john f",100,RI,-0.582,-0.662,-0.716,-0.547,-2.346972738,"REED, John F. (Jack)"
29147,"sanders, bernard",100,VT,-1.141,-1.126,-0.889,,-3.376294704,"SANDERS, Bernard"
29345,"crapo, michael",200,ID,0.924,0.634,1.255,0.763,2.92602268,"CRAPO, Michael Dean"
29373,"menendez, robert",100,NJ,-0.354,-0.39,-0.51,-0.678,-2.33758204,"MENENDEZ, Robert"
29386,"portman, rob",200,OH,0.974,0.834,0.53,0.894,1.848982412,"PORTMAN, Robert Jones (Rob)"
29389,"brown, sherrod",100,OH,-0.767,-0.695,-0.597,-0.555,-2.845138336,"BROWN, Sherrod"
29534,"wicker, roger f",200,MS,1.107,1.073,1.344,0.96,2.35027138,"WICKER, Roger F."
29548,"burr, richard m",200,NC,1.096,0.815,1.267,0.593,2.671837789,"BURR, Richard M."
29566,"graham, lindsey o",200,SC,1.106,0.19,1.248,0.86,2.512089739,"GRAHAM, Lindsey O."
29722,"moran, jerry",200,KS,1.057,0.671,1.239,0.708,2.563378454,"MORAN, Jerry"
29732,"stabenow, debbie",100,MI,-0.768,-0.788,-0.492,-1.327,-2.577897274,"STABENOW, Deborah Ann"
29735,"blunt, roy",200,MO,1.038,0.874,,0.722,2.326200889,"BLUNT, Roy"
29754,"thune, john",200,SD,1.204,1.139,1.141,1.38,2.524434292,"THUNE, John"
29909,"isakson, john hardy",200,GA,1.078,1.081,1.176,0.606,2.401782276,"ISAKSON, Johnny"
29924,"udall, tom",100,NM,-0.875,-1.021,-0.78,-1.145,-2.830168905,"UDALL, Thomas (Tom)"
29935,"toomey, patrick joseph",200,PA,1.136,1.026,1.335,1.131,3.177843381,"TOOMEY, Patrick Joseph"
29940,"baldwin, tammy",100,WI,-1.113,-1.104,-0.964,-1.454,-3.478978733,"BALDWIN, Tammy"
39310,"cantwell, maria",100,WA,-0.857,-0.893,-0.834,-0.768,-2.490492213,"CANTWELL, Maria E."
40300,"murkowski, lisa",200,AK,0.589,0.462,1.047,,1.234242084,"MURKOWSKI, Lisa"
40304,"alexander, lamar",200,TN,0.958,0.53,1.137,0.87,2.042075381,"ALEXANDER, Lamar"
40305,"cornyn, john",200,TX,1.264,1.04,1.355,0.963,2.923917111,"CORNYN, John"
40700,"klobuchar, amy",100,MN,-0.907,-0.855,-0.873,-1.979,-2.584161938,"KLOBUCHAR, Amy"
40702,"tester, jon",100,MT,-0.914,-0.815,-0.757,-2.013,-2.092234419,"TESTER, Jon"
40703,"casey, robert p jr",100,PA,-0.794,-0.671,-0.669,-2.192,-2.470527901,"CASEY, Robert (Bob), Jr."
40704,"whitehouse, sheldon ii",100,RI,-0.836,-0.86,-0.766,,-2.747006113,"WHITEHOUSE, Sheldon"
40707,"barrasso, john a",200,WY,1.067,0.866,1.15,0.849,2.66591442,"BARRASSO, John A."
40902,"risch, james e",200,ID,0.927,0.622,1.086,1.007,2.646792802,"RISCH, James"
40906,"shaheen, jeanne",100,NH,-0.905,-0.942,-1.136,-1.813,-2.474195298,"SHAHEEN, Jeanne"
40908,"merkley, jeffrey alan",100,OR,-1.045,-1.108,-1.026,-1.991,-3.232175882,"MERKLEY, Jeff"
40909,"warner, mark robert",100,VA,-0.58,-0.637,-0.724,,-1.815136896,"WARNER, Mark"
40910,"bennet, michael f",100,CO,-0.89,-0.987,-0.86,,-2.381405432,"BENNET, Michael F."
40915,"manchin iii, joe",100,WV,0.062,-0.355,-0.372,,-0.550050958,"MANCHIN, Joe, III"
40916,"coons, christopher a",100,DE,-0.611,-0.767,-0.702,,-2.074685525,"COONS, Christopher A."
41101,"blumenthal, richard",100,CT,-0.807,-0.956,-0.774,,-2.900412648,"BLUMENTHAL, Richard"
41102,"rubio, marco",200,FL,1.345,1.139,0.797,,3.092995674,"RUBIO, Marco"
41104,"paul, rand",200,KY,1.349,0.851,1.646,,4.31965409,"PAUL, Rand"
41107,"hoeven, john",200,ND,1.086,1.001,1.26,,2.377666209,"HOEVEN, John"
41110,"lee, mike",200,UT,1.391,1.133,1.121,,4.410223644,"LEE, Mike"
