ICPSR,bioname,state_abbrev,party_code,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2
14226,"GRASSLEY, Charles Ernest",IA,200,0.362,-0.035,0.491,0.026
14307,"LEAHY, Patrick Joseph",VT,100,-0.36,-0.121,-0.279,-0.04
14435,"MARKEY, Edward John",MA,100,-0.517,-0.471,-0.625,-0.759
14852,"ROBERTS, Charles Patrick (Pat)",KS,200,0.413,-0.09,0.339,0.203
14858,"SCHUMER, Charles Ellis (Chuck)",NY,100,-0.355,-0.411,-0.416,-0.387
14871,"WYDEN, Ronald Lee",OR,100,-0.334,-0.487,-0.376,-0.627
14921,"McCONNELL, Addison Mitchell (Mitch)",KY,200,0.402,0.018,0.297,0.201
15015,"CARPER, Thomas Richard",DE,100,-0.179,-0.225,-0.19,-0.211
15021,"DURBIN, Richard Joseph",IL,100,-0.34,-0.311,-0.287,-0.12
15408,"CARDIN, Benjamin Louis",MD,100,-0.32,-0.224,-0.277,-0.113
15424,"INHOFE, James Mountain",OK,200,0.552,0.045,0.617,-0.005
20101,"BOOZMAN, John",AR,200,0.426,0.34,0.354,0.245
20146,"CAPITO, Shelley Moore",WV,200,0.284,0.144,0.326,0.177
20330,"VAN HOLLEN, Christopher",MD,100,-0.398,-0.227,-0.38,-0.333
20351,"BLACKBURN, Marsha",TN,200,0.632,0.141,0.695,0.164
20707,"MURPHY, Christopher",CT,100,-0.287,-0.258,-0.165,-0.323
20713,"HIRONO, Mazie",HI,100,-0.512,-0.089,-0.575,-0.002
20735,"GILLIBRAND, Kirsten",NY,100,-0.449,-0.308,-0.654,-0.349
20919,"CASSIDY, Bill",LA,200,0.464,-0.048,0.504,-0.06
20923,"PETERS, Gary C.",MI,100,-0.25,-0.183,-0.296,-0.027
20930,"HEINRICH, Martin",NM,100,-0.334,-0.001,-0.393,-0.015
21112,"GARDNER, Cory",CO,200,0.444,-0.029,0.355,-0.009
21133,"YOUNG, Todd",IN,200,0.439,-0.024,0.46,-0.329
21166,"LANKFORD, James",OK,200,0.59,0.148,0.687,0.296
21173,"SCOTT, Tim",SC,200,0.629,0.023,0.557,0.093
21300,"SINEMA, Kyrsten",AZ,100,-0.105,0.076,-0.065,0.217
21301,"COTTON, Tom",AR,200,0.578,0.199,0.471,-0.083
21325,"DUCKWORTH, Tammy",IL,100,-0.345,0.056,-0.376,0.208
21338,"DAINES, Steve",MT,200,0.59,-0.024,0.58,-0.214
21350,"CRAMER, Kevin",ND,200,0.4,0.367,0.373,0.247
21501,"McSALLY, Martha",AZ,200,0.345,0.027,0.338,0.209
21743,"ROSEN, Jacklyn Sheryl",NV,100,-0.286,0.317,-0.321,0.339
29142,"REED, John F. (Jack)",RI,100,-0.36,-0.155,-0.313,-0.076
29147,"SANDERS, Bernard",VT,328,-0.545,-0.428,-0.775,-0.467
29345,"CRAPO, Michael Dean",ID,200,0.505,0.291,0.492,0.65
29373,"MENENDEZ, Robert",NJ,100,-0.366,-0.126,-0.382,-0.125
29386,"PORTMAN, Robert Jones (Rob)",OH,200,0.371,-0.208,0.314,0.104
29389,"BROWN, Sherrod",OH,100,-0.425,-0.097,-0.374,-0.106
29534,"WICKER, Roger F.",MS,200,0.377,0.341,0.364,0.196
29548,"BURR, Richard M.",NC,200,0.435,-0.07,0.342,0.189
29566,"GRAHAM, Lindsey O.",SC,200,0.367,-0.269,0.325,-0.006
29722,"MORAN, Jerry",KS,200,0.413,0.221,0.452,-0.276
29732,"STABENOW, Deborah Ann",MI,100,-0.343,-0.019,-0.397,-0.108
29735,"BLUNT, Roy",MO,200,0.398,0.18,0.341,0.156
29754,"THUNE, John",SD,200,0.432,0.226,0.394,0.28
29909,"ISAKSON, Johnny",GA,200,0.402,-0.011,0.336,0.153
29924,"UDALL, Thomas (Tom)",NM,100,-0.453,0.161,-0.435,0.04
29935,"TOOMEY, Patrick Joseph",PA,200,0.624,-0.378,0.707,-0.107
29940,"BALDWIN, Tammy",WI,100,-0.486,-0.124,-0.396,-0.001
39310,"CANTWELL, Maria E.",WA,100,-0.308,-0.402,-0.36,-0.36
40300,"MURKOWSKI, Lisa",AK,200,0.203,-0.304,0.283,-0.424
40304,"ALEXANDER, Lamar",TN,200,0.324,-0.176,0.322,-0.086
40305,"CORNYN, John",TX,200,0.471,-0.062,0.44,0.093
40700,"KLOBUCHAR, Amy",MN,100,-0.278,-0.325,-0.476,-0.367
40702,"TESTER, Jon",MT,100,-0.213,0.153,-0.237,0.158
40703,"CASEY, Robert (Bob), Jr.",PA,100,-0.313,0.166,-0.339,0.197
40704,"WHITEHOUSE, Sheldon",RI,100,-0.349,-0.112,-0.291,0.019
40707,"BARRASSO, John A.",WY,200,0.54,0.193,0.602,0.323
40902,"RISCH, James",ID,200,0.552,0.384,0.573,0.636
40906,"SHAHEEN, Jeanne",NH,100,-0.221,-0.139,-0.216,-0.036
40908,"MERKLEY, Jeff",OR,100,-0.453,-0.719,-0.409,-0.724
40909,"WARNER, Mark",VA,100,-0.213,-0.037,-0.222,-0.019
40910,"BENNET, Michael F.",CO,100,-0.242,-0.191,-0.3,-0.144
40915,"MANCHIN, Joe, III",WV,100,-0.057,0.4,-0.052,0.388
40916,"COONS, Christopher A.",DE,100,-0.238,-0.215,-0.21,-0.237
41101,"BLUMENTHAL, Richard",CT,100,-0.434,-0.152,-0.456,-0.173
41102,"RUBIO, Marco",FL,200,0.616,-0.184,0.517,-0.102
41104,"PAUL, Rand",KY,200,0.891,-0.454,0.879,-0.477
41107,"HOEVEN, John",ND,200,0.401,0.449,0.371,0.274
41110,"LEE, Mike",UT,200,0.891,-0.454,0.91,-0.414
41111,"JOHNSON, Ron",WI,200,0.643,-0.144,0.61,0.017
41112,"SCHATZ, Brian Emanuel",HI,100,-0.448,-0.119,-0.466,-0.111
41300,"KING, Angus Stanley, Jr.",ME,328,-0.167,-0.187,-0.167,-0.201
41301,"WARREN, Elizabeth",MA,100,-0.745,-0.37,-0.792,-0.434
41302,"FISCHER, Debra (Deb)",NE,200,0.46,0.335,0.48,0.486
41304,"CRUZ, Rafael Edward (Ted)",TX,200,0.781,-0.179,0.908,-0.418
41305,"KAINE, Timothy Michael (Tim)",VA,100,-0.237,-0.112,-0.255,0.005
41308,"BOOKER, Cory Anthony",NJ,100,-0.558,-0.25,-0.551,-0.382
41500,"SULLIVAN, Daniel Scott",AK,200,0.476,0.156,0.51,-0.04
41501,"PERDUE, David Alfred, Jr.",GA,200,0.562,-0.075,0.474,0.156
41502,"ERNST, Joni",IA,200,0.537,-0.032,0.544,-0.139
41503,"SASSE, Benjamin Eric",NE,200,0.669,-0.25,0.717,-0.012
41504,"TILLIS, Thomas Roland (Thom)",NC,200,0.386,-0.104,0.426,0.202
41505,"ROUNDS, Marion Michael (Mike)",SD,200,0.351,0.086,0.437,0.388
41700,"CORTEZ MASTO, Catherine Marie",NV,100,-0.347,0.35,-0.354,0.337
41701,"HARRIS, Kamala Devi",CA,100,-0.709,-0.105,-0.729,-0.137
41703,"KENNEDY, John Neely",LA,200,0.56,-0.149,0.681,-0.043
41705,"JONES, Gordon Douglas (Doug)",AL,100,-0.088,0.187,-0.081,0.234
41706,"SMITH, Tina",MN,100,-0.409,-0.121,-0.413,-0.032
41707,"HYDE-SMITH, Cindy",MS,200,0.449,0.333,0.363,0.38
41900,"BRAUN, Michael",IN,200,0.8,0.6,0.837,0.335
41901,"HAWLEY, Joshua David",MO,200,0.83,-0.372,0.618,-0.383
41902,"ROMNEY, Willard Mitt (Mitt)",UT,200,0.286,0.294,0.39,0.705
41903,"SCOTT, Richard Lynn (Rick)",FL,200,0.722,-0.037,0.547,0.065
41904,"LOEFFLER, Kelly",GA,200,0.555,-0.203,0.556,-0.201
41905,"KELLY, Mark Edward",AZ,100,-0.264,0.29,-0.064,0.499
49300,"FEINSTEIN, Dianne",CA,100,-0.268,-0.184,-0.263,-0.057
