election,cycle,fecyear,bonica.rid,bonica.cid,name,lname,ffname,fname,mname,title,suffix,party,state,seat,district,distcyc,ico.status,cand.gender,recipient.cfscore,recipient.cfscore.dyn,contributor.cfscore,dwdime,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,irt.cfscore,composite.score,num.givers,num.givers.total,total.receipts,total.disbursements,total.indiv.contribs,total.unitemized,total.pac.contribs,total.party.contribs,total.contribs.from.candidate,ind.exp.support,ind.exp.oppose,prim.vote.pct,pwinner,gen.vote.pct,gwinner,s.elec.stat,r.elec.stat,district.pres.vs,fec.cand.status,recipient.type,igcat,comtype,ICPSR,ICPSR2,Cand.ID,FEC.ID,NID,before.switch.ICPSR,after.switch.ICPSR,party.orig,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status
fd2020,2020,2020,comm69042345,,"idahoans for a fair wage, inc.",,,,,,,328,ID,federal:527,,,,,-1.262,-1.262,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,comm,,,527o:8335445852020,527o:833544585,527o:833544585,527o:833544585,,,,,,,,,
fd2020,2020,2020,comm69042414,,young democrats of atlanta inc,,,,,,,328,GA,federal:527,,,,,-1.017,-1.017,,,,,,,,,8,32,,,,,,,,,,,,,,,,,,comm,,,527o:8434103932002,527o:843410393,527o:843410393,527o:843410393,,,,,,,,,
fd2020,2020,2020,comm69042450,,humanity first for illinois,,,,,,,328,IL,federal:527,,,,,-1.368,-1.273,,,,,,,,,8,11,,,,,,,,,,,,,,,,,,comm,,,527o:8448646912004,527o:844864691,527o:844864691,527o:844864691,,,,,,,,,
fd2020,2020,2020,comm69042426,,don hill for congress inc,,,,,,,328,TX,federal:527,,,,,1.575,1.575,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,comm,,,527o:8440963052020,527o:844096305,527o:844096305,527o:844096305,,,,,,,,,
fd2020,2020,2020,comm69042427,,petel4congress,,,,,,,328,CA,federal:527,,,,,0.934,0.934,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,comm,,,527o:8441195492006,527o:844119549,527o:844119549,527o:844119549,,,,,,,,,
fd2020,2020,2020,comm69042508,,jenny bach for cdp vice chair,,,,,,,328,CA,federal:527,,,,,-1.265,-1.265,,,,,,,,,4,66,,,,,,,,,,,,,,,,,,comm,,,527o:8538497062006,527o:853849706,527o:853849706,527o:853849706,,,,,,,,,
fd2016,2016,2020,cand177,2477759378,"cochran, william thad",cochran,william thad,william,thad,,,200,MS,federal:senate,MSS20,2016_MS_S,I,M,0.961,0.998,0.986,0.687,0.287,0.051,0.329,0.102,0.996,1.918307959,564,6803,1200005,1165596,698584,3341,496950,0,0,0,0,,,,,,,0.409,F,cand,,S,140092016,14009,S8MS00055,C00091892,N00003328,,,200,,,,,
fd2016,2016,2020,cand346,3156103818,"markey, edward john",markey,edward john,edward,john,,,100,MA,federal:senate,MAS20,2016_MA_S,I,M,-0.718,-0.716,-0.638,-1.322,-0.516,-0.468,-0.635,-0.544,-0.532,-3.121301977,1324,76016,601552,803795,317997,107546,130500,0,0,0,0,,,,,,,0.647,F,cand,,H,144352016,14435,S4MA00028,C00196774,N00000270,,,100,,,,,
fd2020,2020,2020,comm69042422,,national committee for volunteer firefighters,,,,,,,328,MA,federal:527,,,,,0.561,0.561,,,,,,,,,23,715,,,,,,,,,,,,,,,,,,comm,,,527o:8437634112010,527o:843763411,527o:843763411,527o:843763411,,,,,,,,,
fd2020,2020,2020,comm69042491,,voters for reason,,,,,,,328,PA,federal:527,,,,,-1.41,-1.41,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,comm,,,527o:8525198632006,527o:852519863,527o:852519863,527o:852519863,,,,,,,,,
fd2020,2020,2020,comm69042239,,calvert county democratic womens club,,,,,,,328,MD,federal:527,,,,,-1.198,-1.214,,,,,,,,,27,41,,,,,,,,,,,,,,,,,,comm,,,527o:8244740962002,527o:824474096,527o:824474096,527o:824474096,,,,,,,,,
fd2020,2020,2020,comm69042498,,becky secord for school board,,,,,,,328,IN,federal:527,,,,,1.107,1.107,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,comm,,,527o:8528006262002,527o:852800626,527o:852800626,527o:852800626,,,,,,,,,
fd2020,2020,2020,comm69042394,,randy hopkins for congress 2020,,,,,,,328,UT,federal:527,,,,,-1.427,-1.427,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,comm,,,527o:8427834012004,527o:842783401,527o:842783401,527o:842783401,,,,,,,,,
fd2020,2020,2020,comm69042439,,tim walsh for congress,,,,,,,328,NJ,federal:527,,,,,1.993,1.993,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,comm,,,527o:8445501432018,527o:844550143,527o:844550143,527o:844550143,,,,,,,,,
fd2020,2020,2020,comm69042365,,home builders who care,,,,,,,328,MI,federal:527,,,,,0.876,,,,,,,,,,9,32,,,,,,,,,,,,,,,,,,comm,,,527o:8347046722006,527o:834704672,527o:834704672,527o:834704672,,,,,,,,,
fd2020,2020,2020,comm69042461,,jon henry for senate,,,,,,,328,TN,federal:527,,,,,0.862,0.862,,,,,,,,,42,42,,,,,,,,,,,,,,,,,,comm,,,527o:8504930752002,527o:850493075,527o:850493075,527o:850493075,,,,,,,,,
fd2020,2020,2020,comm69042423,,american alliance for military veterans,,,,,,,328,VA,federal:527,,,,,0.673,0.798,,,,,,,,,9,717,,,,,,,,,,,,,,,,,,comm,,,527o:8437636062004,527o:843763606,527o:843763606,527o:843763606,,,,,,,,,
fd2020,2020,2020,comm69042421,,national cancer alliance,,,,,,,328,CO,federal:527,,,,,-0.134,-0.134,,,,,,,,,17,416,,,,,,,,,,,,,,,,,,comm,,,527o:8437632422006,527o:843763242,527o:843763242,527o:843763242,,,,,,,,,
fd2020,2020,2020,comm69042127,,blue rising,,,,,,,328,CO,federal:527,,,,,-1.312,-1.312,,,,,,,,,19,19,,,,,,,,,,,,,,,,,,comm,,,527o:8149703392004,527o:814970339,527o:814970339,527o:814970339,,,,,,,,,
