bioname,state_abbrev,party,wins,losses,ties,bt_score
"CRUZ, Rafael Edward (Ted)",TX,R,301.5,1.5,3.0,1.0
"HAWLEY, Joshua David",MO,R,299.5,3.5,3.0,0.96219
"LEE, Mike",UT,R,297.0,6.0,4.0,0.92275
"PAUL, Rand",KY,R,295.5,7.5,5.0,0.901235
"BRAUN, Michael",IN,R,289.0,14.0,2.0,0.818897
"SCOTT, Richard Lynn (Rick)",FL,R,288.5,14.5,3.0,0.813181
"COTTON, Tom",AR,R,285.5,17.5,5.0,0.78045
"JOHNSON, Ron",WI,R,280.5,22.5,7.0,0.731079
"BLACKBURN, Marsha",TN,R,280.0,23.0,6.0,0.726463
"LOEFFLER, Kelly",GA,R,270.5,32.5,9.0,0.648116
"SCOTT, Tim",SC,R,270.0,33.0,8.0,0.644399
"KENNEDY, John Neely",LA,R,270.0,33.0,10.0,0.644399
"RUBIO, Marco",FL,R,269.5,33.5,9.0,0.640713
"DAINES, Steve",MT,R,267.0,36.0,8.0,0.622722
"PERDUE, David Alfred, Jr.",GA,R,257.0,46.0,4.0,0.5568
"SASSE, Benjamin Eric",NE,R,257.0,46.0,10.0,0.5568
"ERNST, Joni",IA,R,250.0,53.0,10.0,0.515439
"LANKFORD, James",OK,R,248.5,54.5,13.0,0.506971
"TOOMEY, Patrick Joseph",PA,R,248.0,55.0,14.0,0.504173
"BARRASSO, John A.",WY,R,247.5,55.5,11.0,0.501387
"INHOFE, James Mountain",OK,R,245.0,58.0,12.0,0.487619
"McCONNELL, Addison Mitchell (Mitch)",KY,R,241.0,62.0,8.0,0.466059
"HYDE-SMITH, Cindy",MS,R,240.0,63.0,8.0,0.460744
"CORNYN, John",TX,R,231.0,72.0,10.0,0.414066
"RISCH, James",ID,R,230.0,73.0,4.0,0.409008
"SULLIVAN, Daniel Scott",AK,R,227.5,75.5,11.0,0.396483
"CRAMER, Kevin",ND,R,224.0,79.0,14.0,0.379255
"ENZI, Michael B.",WY,R,222.0,81.0,10.0,0.369581
"THUNE, John",SD,R,218.5,84.5,9.0,0.352964
"McSALLY, Martha",AZ,R,214.0,89.0,20.0,0.332195
"FISCHER, Debra (Deb)",NE,R,211.0,92.0,12.0,0.318718
"CRAPO, Michael Dean",ID,R,205.0,98.0,14.0,0.292563
