Probe,alpha,Statement,DW-NOMINATE,CFscore,Topic
BT,-20,1,-0.75,-1.45,abortion
BT,-20,2,-0.7,-1.35,abortion
BT,-20,3,-0.68,-1.3,abortion
BT,-20,4,-0.72,-1.4,abortion
BT,-20,5,-0.85,-1.65,abortion
BT,-10,1,-0.75,-1.45,abortion
BT,-10,2,-0.45,-0.85,abortion
BT,-10,3,0.1,0.25,abortion
BT,-10,4,-0.35,-0.7,abortion
BT,-10,5,-0.72,-1.4,abortion
BT,0,1,-0.7,-1.35,abortion
BT,0,2,-0.72,-1.4,abortion
BT,0,3,-0.85,-1.65,abortion
BT,0,4,-0.8,-1.55,abortion
BT,0,5,-0.85,-1.65,abortion
BT,10,1,-0.35,-0.7,abortion
BT,10,2,-0.55,-1.05,abortion
BT,10,3,-0.25,-0.5,abortion
BT,10,4,0.0,0.0,abortion
BT,10,5,-0.45,-0.85,abortion
BT,20,1,0.1,0.2,abortion
BT,20,2,0.65,1.3,abortion
BT,20,3,0.55,1.1,abortion
BT,20,4,0.8,1.6,abortion
BT,20,5,0.45,0.9,abortion
BT,-20,1,-0.85,-1.7,immigration
BT,-20,2,-0.8,-1.55,immigration
BT,-20,3,-0.78,-1.5,immigration
BT,-20,4,-0.75,-1.45,immigration
BT,-20,5,-0.7,-1.35,immigration
BT,-10,1,-0.7,-1.35,immigration
BT,-10,2,-0.65,-1.25,immigration
BT,-10,3,-0.6,-1.15,immigration
BT,-10,4,-0.5,-0.95,immigration
BT,-10,5,-0.75,-1.45,immigration
BT,0,1,-0.4,-0.8,immigration
BT,0,2,-0.75,-1.45,immigration
BT,0,3,-0.7,-1.35,immigration
BT,0,4,-0.45,-0.9,immigration
BT,0,5,-0.3,-0.6,immigration
BT,10,1,-0.5,-1.0,immigration
BT,10,2,0.25,0.5,immigration
BT,10,3,0.4,0.8,immigration
BT,10,4,-0.6,-1.15,immigration
BT,10,5,0.55,1.1,immigration
BT,20,1,0.0,0.0,immigration
BT,20,2,-0.1,-0.2,immigration
BT,20,3,0.2,0.4,immigration
BT,20,4,0.0,0.0,immigration
BT,20,5,0.3,0.6,immigration
BT,-20,1,-0.7,-1.3,social_media_regulation
BT,-20,2,-0.65,-1.2,social_media_regulation
BT,-20,3,-0.68,-1.25,social_media_regulation
BT,-20,4,-0.6,-1.1,social_media_regulation
BT,-20,5,-0.75,-1.4,social_media_regulation
BT,-10,1,-0.4,-0.75,social_media_regulation
BT,-10,2,-0.35,-0.65,social_media_regulation
BT,-10,3,-0.3,-0.6,social_media_regulation
BT,-10,4,-0.25,-0.5,social_media_regulation
BT,-10,5,-0.2,-0.4,social_media_regulation
BT,0,1,-0.1,-0.2,social_media_regulation
BT,0,2,-0.05,-0.1,social_media_regulation
BT,0,3,-0.15,-0.3,social_media_regulation
BT,0,4,-0.1,-0.2,social_media_regulation
BT,0,5,-0.05,-0.1,social_media_regulation
BT,10,1,0.05,0.1,social_media_regulation
BT,10,2,0.1,0.2,social_media_regulation
BT,10,3,0.15,0.3,social_media_regulation
BT,10,4,0.1,0.2,social_media_regulation
BT,10,5,0.2,0.4,social_media_regulation
BT,20,1,0.25,0.5,social_media_regulation
BT,20,2,0.3,0.6,social_media_regulation
BT,20,3,0.35,0.7,social_media_regulation
BT,20,4,0.2,0.4,social_media_regulation
BT,20,5,0.4,0.8,social_media_regulation
CFS,-20,1,-0.75,-1.45,abortion
CFS,-20,2,-0.7,-1.35,abortion
CFS,-20,3,-0.68,-1.3,abortion
CFS,-20,4,-0.72,-1.4,abortion
CFS,-20,5,-0.85,-1.65,abortion
CFS,-10,1,-0.75,-1.45,abortion
CFS,-10,2,-0.45,-0.85,abortion
CFS,-10,3,0.1,0.25,abortion
CFS,-10,4,-0.35,-0.7,abortion
CFS,-10,5,-0.72,-1.4,abortion
CFS,0,1,0.85,1.7,abortion
CFS,0,2,0.9,1.8,abortion
CFS,0,3,0.95,1.9,abortion
CFS,0,4,0.85,1.7,abortion
CFS,0,5,0.9,1.8,abortion
CFS,10,1,0.0,0.0,abortion
CFS,10,2,0.1,0.2,abortion
CFS,10,3,0.0,0.0,abortion
CFS,10,4,0.2,0.4,abortion
CFS,10,5,-0.1,-0.2,abortion
CFS,20,1,0.0,0.0,abortion
CFS,20,2,0.0,0.0,abortion
CFS,20,3,0.0,0.0,abortion
CFS,20,4,0.0,0.0,abortion
CFS,20,5,0.0,0.0,abortion
CFS,-20,1,-0.6,-1.2,immigration
CFS,-20,2,-0.65,-1.3,immigration
CFS,-20,3,-0.55,-1.1,immigration
CFS,-20,4,-0.5,-1.0,immigration
CFS,-20,5,-0.6,-1.2,immigration
CFS,-10,1,0.0,0.0,immigration
CFS,-10,2,0.0,0.0,immigration
CFS,-10,3,0.0,0.0,immigration
CFS,-10,4,0.0,0.0,immigration
CFS,-10,5,0.0,0.0,immigration
CFS,0,1,0.7,1.4,immigration
CFS,0,2,0.8,1.6,immigration
CFS,0,3,0.75,1.5,immigration
CFS,0,4,0.7,1.4,immigration
CFS,0,5,0.65,1.3,immigration
CFS,10,1,0.1,0.2,immigration
CFS,10,2,0.05,0.1,immigration
CFS,10,3,0.0,0.0,immigration
CFS,10,4,-0.05,-0.1,immigration
CFS,10,5,0.2,0.4,immigration
CFS,20,1,0.0,0.0,immigration
CFS,20,2,0.0,0.0,immigration
CFS,20,3,0.0,0.0,immigration
CFS,20,4,0.0,0.0,immigration
CFS,20,5,0.0,0.0,immigration
CFS,-20,1,-0.55,-1.1,social_media_regulation
CFS,-20,2,-0.5,-1.0,social_media_regulation
CFS,-20,3,-0.55,-1.1,social_media_regulation
CFS,-20,4,-0.5,-1.0,social_media_regulation
CFS,-20,5,-0.6,-1.2,social_media_regulation
CFS,-10,1,0.0,0.0,social_media_regulation
CFS,-10,2,0.0,0.0,social_media_regulation
CFS,-10,3,0.0,0.0,social_media_regulation
CFS,-10,4,0.0,0.0,social_media_regulation
CFS,-10,5,0.0,0.0,social_media_regulation
CFS,0,1,0.2,0.4,social_media_regulation
CFS,0,2,0.25,0.5,social_media_regulation
CFS,0,3,0.3,0.6,social_media_regulation
CFS,0,4,0.25,0.5,social_media_regulation
CFS,0,5,0.3,0.6,social_media_regulation
CFS,10,1,0.1,0.2,social_media_regulation
CFS,10,2,0.05,0.1,social_media_regulation
CFS,10,3,0.1,0.2,social_media_regulation
CFS,10,4,0.05,0.1,social_media_regulation
CFS,10,5,0.15,0.3,social_media_regulation
CFS,20,1,0.0,0.0,social_media_regulation
CFS,20,2,0.0,0.0,social_media_regulation
CFS,20,3,0.0,0.0,social_media_regulation
CFS,20,4,0.0,0.0,social_media_regulation
CFS,20,5,0.0,0.0,social_media_regulation
DW,20,1,0.85,1.7,abortion
DW,20,2,0.9,1.8,abortion
DW,20,3,0.85,1.7,abortion
DW,20,4,0.9,1.8,abortion
DW,20,5,0.8,1.6,abortion
DW,10,1,0.7,1.4,abortion
DW,10,2,0.75,1.5,abortion
DW,10,3,0.75,1.5,abortion
DW,10,4,0.8,1.6,abortion
DW,10,5,0.75,1.5,abortion
DW,0,1,0.6,1.2,abortion
DW,0,2,0.65,1.3,abortion
DW,0,3,0.7,1.4,abortion
DW,0,4,0.65,1.3,abortion
DW,0,5,0.7,1.4,abortion
DW,-10,1,0.55,1.1,abortion
DW,-10,2,0.55,1.1,abortion
DW,-10,3,0.6,1.2,abortion
DW,-10,4,0.6,1.2,abortion
DW,-10,5,0.55,1.1,abortion
DW,-20,1,0.4,0.8,abortion
DW,-20,2,0.4,0.8,abortion
DW,-20,3,0.45,0.9,abortion
DW,-20,4,0.45,0.9,abortion
