source_score,head_mode,topic,alpha,n_generations,dw_pred_mean,cfs_pred_mean,bt_pred_mean,dw_pred_std,cfs_pred_std,bt_pred_std
dw,topk,immigration,-20.0,5,-47.50459748506546,-24.863226578800994,-28.02010462200269,0.09049889334807745,0.18543352106628277,0.11222102499101287
dw,topk,immigration,-10.0,5,-24.51839044392109,-14.939322992923726,-15.600079233944417,0.13215572155154484,0.21386848250889184,0.13997887653604482
dw,topk,immigration,0.0,5,-0.16215142381843178,-1.1651347007520276,-0.7450973983155563,0.1350490889650702,0.20745822774286535,0.28030739784705694
dw,topk,immigration,10.0,5,25.04834232032299,15.596163773679123,16.23816444341792,0.29249455002772295,0.593077059861806,0.8534510530587455
dw,topk,immigration,20.0,5,47.94424454569817,25.11254326607758,28.246839541557712,0.17420684520432567,0.31642097524468366,0.3038376779350826
dw,topk,abortion,-20.0,5,-47.42798291444778,-24.837523935647575,-27.846505150571467,0.11593844913637022,0.1491252997340178,0.1050732273585308
dw,topk,abortion,-10.0,5,-24.358592182397842,-14.831471999132024,-14.96702148001641,0.09578976062436728,0.44205543521821716,0.2990977137410878
dw,topk,abortion,0.0,5,-0.38180770745966586,-1.4290293752982772,-0.5545491970027797,0.12285151514301751,0.3750811902726027,0.32658889010868686
dw,topk,abortion,10.0,5,24.91496433019638,15.668468270960318,16.167310818424447,0.17183923007580018,0.1672020731823741,0.35216590521830754
dw,topk,abortion,20.0,5,48.21814721822739,25.729837704014365,28.976628168206663,0.17285994561509624,0.1520305192467705,0.24055969885991144
dw,topk,social media regulation,-20.0,5,-47.53289813399315,-25.321960514997517,-28.35587652933318,0.1601484345436776,0.277087256468858,0.20330447162906098
dw,topk,social media regulation,-10.0,5,-24.62399580180645,-15.193747802853915,-16.209661765024066,0.12330796881519368,0.2013349708432407,0.1773968035910991
dw,topk,social media regulation,0.0,5,0.05340327168814838,-0.26868731526877065,-0.6106149034807459,0.1682488359451825,0.3719388205603246,0.4678075764368051
dw,topk,social media regulation,10.0,5,25.309313493967057,15.870512300954365,16.504215532378293,0.17795943140429457,0.15718674600384172,0.36963935415105187
dw,topk,social media regulation,20.0,5,48.35211088657379,25.605527641048987,29.013300214102493,0.07604863613037183,0.5464363290801733,0.16485431315942534
dw,random,immigration,-20.0,5,-9.269145900988951,-4.39902686723234,-11.934175730240531,4.660340056543362,2.191865016322312,5.804971648298097
dw,random,immigration,-10.0,5,-5.509038840979338,-0.6140817798071488,-6.193438995734323,0.0017150000207367898,0.007485038405626243,0.005717572033636122
dw,random,immigration,0.0,5,-0.16215142381843178,-1.1651347007520276,-0.7450973983155563,0.1350490889650702,0.20745822774286535,0.28030739784705694
dw,random,immigration,10.0,5,5.837905307300389,4.338701137522346,5.083549043163657,0.0,0.0,0.0
dw,random,immigration,20.0,5,11.411302488297224,7.223612614184179,11.436548289377242,0.0,8.881784197001252e-16,0.0
dw,random,abortion,-20.0,5,-9.2745840894524,-4.395952550595736,-11.931752622243948,4.663059051839056,2.1903282952231575,5.803759590881514
dw,random,abortion,-10.0,5,-5.510823078639805,-0.5960436992949862,-6.193724525126163,0.0020323095778667804,0.00800808833314545,0.006923672889420668
dw,random,abortion,0.0,5,-0.38180770745966586,-1.4290293752982772,-0.5545491970027797,0.12285151514301751,0.3750811902726027,0.32658889010868686
dw,random,abortion,10.0,5,5.827335282228887,4.338889963174349,5.075723513960838,0.0,0.0,0.0
dw,random,abortion,20.0,5,11.403485989198089,7.221396000716178,11.427405294263735,0.0,0.0,0.0
dw,random,social media regulation,-20.0,5,-9.26649852679111,-4.386084372736514,-11.922471841913648,4.659016250158644,2.1853935523208317,5.79911901799019
dw,random,social media regulation,-10.0,5,-5.509602013044059,-0.607759687156581,-6.189403943729121,0.0015907806422057703,0.006865842694384585,0.005492073289527642
dw,random,social media regulation,0.0,5,0.05340327168814838,-0.26868731526877065,-0.6106149034807459,0.1682488359451825,0.3719388205603246,0.4678075764368051
dw,random,social media regulation,10.0,5,5.860477889887989,4.409416589354549,5.136088928207755,0.0,0.0,0.0
dw,random,social media regulation,20.0,5,11.407676722854376,7.227583981820328,11.433750555152074,0.0,0.0,0.0
cfs,topk,immigration,-20.0,5,-21.94716590405442,-406.0650099158287,-80.63581304770196,0.033560171817876815,0.12035368479276777,0.06165883812337051
cfs,topk,immigration,-10.0,5,-10.166387949674391,-201.89773901876282,-38.534683967812455,0.052556326892545614,0.3472355715520844,0.15612159932628755
cfs,topk,immigration,0.0,5,-0.16215142381843178,-1.1651347007520276,-0.7450973983155563,0.1350490889650702,0.20745822774286535,0.28030739784705694
cfs,topk,immigration,10.0,5,10.155991228693164,199.97908257807006,36.61502474223962,0.047516876885949744,0.44178038424770427,0.20924630877556455
cfs,topk,immigration,20.0,5,21.30871662995778,401.29749515898095,75.39035627313424,0.05948406354745147,0.09920691090965918,0.11365431877258265
cfs,topk,abortion,-20.0,5,-21.921284013893455,-406.0815210510703,-80.59623005569446,0.027801583144230688,0.24732770895882816,0.14752475091340245
cfs,topk,abortion,-10.0,5,-10.115415471605957,-202.15943038919394,-38.58023139084689,0.047453163925450445,0.2862509410933325,0.1560145277055189
cfs,topk,abortion,0.0,5,-0.38180770745966586,-1.4290293752982772,-0.5545491970027797,0.12285151514301751,0.3750811902726027,0.32658889010868686
cfs,topk,abortion,10.0,5,10.062714788340964,199.73550417388188,36.51625001396751,0.08543437462601057,0.14013616778341173,0.0912644144676209
cfs,topk,abortion,20.0,5,21.29592100591399,401.40328951162456,75.34379596069921,0.07435132455509184,0.07565470319902878,0.03954991018964616
cfs,topk,social media regulation,-20.0,5,-21.915557372150943,-406.2700251403977,-80.75287210635142,0.02702101810273788,0.11148251856678591,0.0442034465163386
cfs,topk,social media regulation,-10.0,5,-10.125644181319512,-202.1683114549693,-38.9325361297233,0.045810158682971024,0.3112143532970466,0.1053460821032515
