senator,party,state,bt_alpha,bt_lambda,lamp_score_unit_interval
Doug Jones,D,AL,7.749073868694181,2.0475733354108105,1.0
John Boozman,R,AR,5.336567696915025,1.6745826929308893,0.9449630111390417
Rand Paul,R,KY,4.391660233878239,1.4797073409866852,0.9162079933109314
Thomas Cotton,R,AR,4.3916602338782385,1.479707340986685,0.9162079933109313
Jacky Rosen,D,NV,4.3916602338782385,1.479707340986685,0.9162079933109313
Mark Kelly,D,AZ,4.006726208532287,1.387974501027107,0.9026722668984084
James E Risch,R,ID,3.3648830940294996,1.213393220748606,0.8769117601089199
Jon Tester,D,MT,3.271584478002149,1.185274417400545,0.8727626633477752
Rafael Edward Ted Cruz,R,TX,3.0949150603286357,1.129760461601201,0.8645712488215497
Mitch Mcconnell,R,KY,3.0949150603286344,1.1297604616012005,0.8645712488215496
Roger F Wicker,R,MS,3.011212235156512,1.1023427336168323,0.8605255999022213
Kevin Cramer,R,ND,2.8523208474177877,1.048132995319097,0.8525266304293919
Steven Daines,R,MT,2.776861121630677,1.0213211968582931,0.8485703900169828
John A Barrasso,R,WY,2.7038921011550245,0.9946922539655553,0.8446411310317641
David Perdue,R,GA,2.7038921011550245,0.9946922539655553,0.8446411310317641
John F Reed,D,RI,2.498810713616017,0.9158149041324954,0.833002308686837
Marsha Blackburn,R,TN,2.498810713616017,0.9158149041324954,0.833002308686837
Joshua David Hawley,R,MO,2.498810713616017,0.9158149041324954,0.833002308686837
Mike Lee,R,UT,2.4347189756884813,0.8898313394793869,0.8291682791013412
James M Sen Inhofe,R,OK,2.3123882947622483,0.8382808842700442,0.8215617026728543
Gary Peters,D,MI,2.312388294762248,0.8382808842700441,0.8215617026728543
Richard M Burr,R,NC,2.312388294762248,0.8382808842700441,0.8215617026728543
James Paul Lankford,R,OK,2.197318126107265,0.7872375831508216,0.8140299598482971
Roy Blunt,R,MO,2.197318126107265,0.7872375831508216,0.8140299598482971
John Thune,R,SD,2.142318847569774,0.7618888160223307,0.8102895984150611
Michael B Enzi,R,WY,2.1423188475697734,0.7618888160223305,0.8102895984150611
