layer,head,spearman_cv
15,9,0.8200116157531738
16,5,0.8173765540122986
17,9,0.8147528171539307
16,7,0.8065932393074036
15,11,0.8053323030471802
17,3,0.8023692965507507
17,10,0.7961492538452148
17,4,0.7911166548728943
17,11,0.7846590876579285
15,10,0.7802655100822449
12,31,0.7788687944412231
17,2,0.7786482572555542
14,19,0.7772120237350464
11,23,0.7765617370605469
10,17,0.7757079005241394
19,16,0.7750745415687561
10,20,0.7746900320053101
16,8,0.7743168473243713
15,12,0.7738927602767944
14,12,0.7735308408737183
10,27,0.7729597687721252
17,12,0.7710089087486267
12,17,0.7644721865653992
12,30,0.7614809274673462
9,22,0.7595188021659851
25,25,0.7539659738540649
13,24,0.7533892393112183
17,1,0.7526767253875732
14,20,0.7518059611320496
10,16,0.7517833113670349
19,15,0.7485941052436829
12,20,0.7465132474899292
10,18,0.7460100054740906
32,28,0.7446302771568298
24,20,0.7413562536239624
12,19,0.7413166761398315
19,13,0.7401574850082397
16,30,0.7399199604988098
24,7,0.738172709941864
29,9,0.7371774911880493
13,23,0.7369117736816406
10,19,0.7363406419754028
14,18,0.7361031174659729
27,28,0.7352266907691956
19,14,0.7339035272598267
14,25,0.7329704761505127
22,22,0.7311497330665588
12,18,0.731002688407898
31,29,0.7295098900794983
10,24,0.7291988730430603
11,24,0.7277965545654297
10,28,0.7265355587005615
15,1,0.725975751876831
14,17,0.7225490808486938
13,28,0.7206491231918335
24,23,0.7204682230949402
28,3,0.7201685309410095
17,25,0.7186587452888489
10,15,0.7185682654380798
25,23,0.7177879214286804
18,7,0.717703104019165
22,24,0.7169454097747803
18,3,0.716312050819397
25,24,0.7162442207336426
13,21,0.7160236835479736
14,4,0.7157918810844421
16,29,0.7153451442718506
27,25,0.7144856452941895
16,10,0.7140841484069824
32,27,0.7108950018882751
17,32,0.7099789381027222
20,32,0.7098884582519531
25,28,0.7095661759376526
26,9,0.7088989019393921
24,4,0.7086783647537231
26,1,0.7081694602966309
10,3,0.7072760462760925
20,30,0.7068858742713928
8,32,0.7065579295158386
26,4,0.7064561247825623
8,14,0.7062525749206543
14,11,0.7060546278953552
12,29,0.7054835557937622
20,15,0.7052347660064697
20,31,0.7050424814224243
24,17,0.7050198912620544
14,26,0.704533576965332
16,6,0.7040925025939941
31,20,0.7034761309623718
32,26,0.7034309506416321
10,13,0.7028937339782715
14,2,0.7022151947021484
12,32,0.7010842561721802
8,16,0.7007167339324951
25,21,0.700648844242096
10,23,0.6968603134155273
32,14,0.6958481073379517
18,1,0.6944740414619446
18,5,0.6942082643508911
31,30,0.6936993598937988
30,31,0.6936654448509216
26,23,0.6930094957351685
18,4,0.6926363110542297
29,28,0.6915280222892761
23,24,0.6907759308815002
12,21,0.690578043460846
26,3,0.6903857588768005
26,2,0.6899051666259766
13,26,0.6896733045578003
19,12,0.6889777779579163
28,29,0.6888986229896545
11,31,0.6881521940231323
14,27,0.6881239414215088
25,29,0.6848838925361633
13,25,0.6847877502441406
27,21,0.6843693256378174
30,26,0.6839678287506104
32,10,0.6830178499221802
30,29,0.6825655102729797
28,18,0.6822318434715271
15,4,0.6821866035461426
32,21,0.6821696758270264
16,11,0.6806994676589966
12,7,0.6804111003875732
15,26,0.6800661683082581
30,32,0.6798965334892273
29,11,0.6795629262924194
11,32,0.6794102191925049
22,28,0.6788504123687744
8,12,0.6787430047988892
18,25,0.6781266331672668
15,2,0.6780135631561279
15,28,0.6779344081878662
32,22,0.6762097477912903
23,23,0.6760966181755066
24,12,0.6755198836326599
32,12,0.6750392317771912
17,28,0.6745076775550842
17,6,0.6744398474693298
17,5,0.6742362976074219
30,1,0.6736481785774231
25,22,0.6724777221679688
27,3,0.6724494099617004
26,15,0.6723193526268005
11,30,0.6723136901855469
10,5,0.6722797751426697
9,24,0.6715220808982849
25,5,0.6708548069000244
27,16,0.6700801253318787
11,29,0.669870913028717
30,17,0.6695090532302856
24,10,0.6686156392097473
16,28,0.668587327003479
18,15,0.6679257750511169
14,9,0.6672359108924866
11,22,0.6665799617767334
31,11,0.6657034754753113
20,16,0.6647818088531494
25,9,0.6643633842468262
19,10,0.6637922525405884
20,3,0.6633455157279968
27,26,0.6621410846710205
10,14,0.6605013012886047
12,16,0.6604390740394592
28,8,0.6575722098350525
19,18,0.6575665473937988
14,22,0.6574421525001526
30,28,0.656995415687561
18,16,0.6569501757621765
23,20,0.6556270122528076
14,1,0.6552764177322388
26,26,0.6548579931259155
27,24,0.6547335982322693
29,5,0.6545130610466003
19,5,0.6542472839355469
16,2,0.6541794538497925
18,8,0.6541285514831543
28,10,0.6533934473991394
14,13,0.65272057056427
18,2,0.6525848507881165
16,17,0.6521041989326477
18,26,0.6512446999549866
24,1,0.6504926681518555
32,23,0.6503795385360718
10,22,0.6501759886741638
27,32,0.6474674344062805
26,5,0.6469641923904419
21,20,0.6457880139350891
26,19,0.6457654237747192
26,10,0.6447588801383972
31,32,0.6441934704780579
19,22,0.6436053514480591
15,21,0.6432151794433594
20,1,0.6429494619369507
30,30,0.6426553726196289
13,27,0.6425140500068665
27,29,0.6424574851989746
20,27,0.6420616507530212
14,16,0.6420220732688904
30,20,0.6418750882148743
12,13,0.641349196434021
30,14,0.6413096189498901
13,9,0.6409363746643066
12,10,0.6408685445785522
31,17,0.6402917504310608
28,15,0.6401730179786682
29,14,0.640048623085022
25,31,0.6390364766120911
32,15,0.6385558247566223
17,31,0.6381882429122925
16,26,0.6380186080932617
29,12,0.6378998756408691
19,19,0.637130856513977
32,8,0.6366502046585083
17,7,0.6365767121315002
30,18,0.6361978650093079
29,22,0.6360112428665161
21,1,0.635847270488739
13,30,0.6356549859046936
31,15,0.6350047588348389
12,26,0.6347898840904236
18,12,0.6343205571174622
19,9,0.6334893107414246
29,29,0.6327033042907715
23,14,0.6321943998336792
16,18,0.6320191025733948
23,18,0.6319173574447632
12,24,0.6315327882766724
31,31,0.6313858032226562
31,10,0.630345344543457
10,4,0.6300739049911499
10,6,0.6295141577720642
28,31,0.6287111639976501
29,13,0.626364529132843
24,27,0.6258442997932434
24,8,0.6256237626075745
13,11,0.6248547434806824
15,25,0.6247416734695435
30,3,0.6242610216140747
14,3,0.6241083145141602
21,2,0.6232771277427673
25,18,0.6230791807174683
25,27,0.6226098537445068
23,16,0.6225759387016296
28,25,0.6222253441810608
30,25,0.6221122741699219
31,22,0.6216202974319458
24,3,0.6212357878684998
15,27,0.6209360957145691
19,7,0.6207777857780457
16,1,0.6205572485923767
21,26,0.6202632188796997
29,7,0.620257556438446
18,11,0.6201331615447998
24,11,0.6200257539749146
13,31,0.61998051404953
31,21,0.6187760829925537
12,12,0.6183463335037231
15,24,0.6174246072769165
15,22,0.6173228621482849
20,24,0.6171249151229858
22,15,0.6154511570930481
30,16,0.6150440573692322
32,25,0.614902675151825
26,11,0.6146368980407715
19,11,0.6146143078804016
11,19,0.6145407557487488
16,32,0.6144390106201172
24,25,0.613800048828125
10,25,0.6132967472076416
28,19,0.613161027431488
22,21,0.6128953099250793
16,4,0.6123467683792114
18,18,0.6122902631759644
19,6,0.610887885093689
9,9,0.61077481508255
12,2,0.6107069849967957
24,22,0.6104129552841187
18,14,0.6097570061683655
26,29,0.6090105772018433
20,14,0.6090049147605896
30,15,0.608281135559082
21,25,0.6080719232559204
12,5,0.6067317724227905
23,12,0.606686532497406
10,7,0.6055047512054443
9,21,0.604611337184906
20,21,0.6045321822166443
30,9,0.6040741205215454
16,20,0.6040684580802917
12,6,0.6033616662025452
17,16,0.6029884219169617
24,6,0.6024569272994995
9,15,0.602100670337677
11,9,0.6018462181091309
22,23,0.6010206341743469
17,14,0.6008736491203308
29,6,0.5994712710380554
22,16,0.5981311798095703
14,14,0.5978654026985168
11,18,0.5972716808319092
18,28,0.5966439843177795
31,13,0.5959145426750183
14,15,0.5958636403083801
29,15,0.5945631265640259
27,27,0.5942238569259644
17,15,0.5933247804641724
27,31,0.5915322303771973
9,17,0.5914134979248047
21,28,0.5900733470916748
24,28,0.5881734490394592
16,9,0.5879359245300293
12,22,0.5879020094871521
32,11,0.5853970050811768
26,8,0.5846110582351685
17,24,0.5840060114860535
10,26,0.5829429030418396
26,24,0.5813879370689392
20,29,0.580845057964325
20,13,0.5806754231452942
20,25,0.5797933340072632
25,26,0.5797876715660095
30,27,0.5792335271835327
21,23,0.5755354166030884
28,5,0.575360119342804
24,18,0.5752527117729187
21,3,0.5741613507270813
30,6,0.5738334059715271
