senator_1,senator_2,wins_senator_1,wins_senator_2,n_repeats
Charles E Grassley,Patrick J Leahy,0.0,2.0,2
Charles E Grassley,Edward John Markey,2.0,0.0,2
Charles E Grassley,Pat Roberts,2.0,0.0,2
Charles E Grassley,Charles E Schumer,2.0,0.0,2
Charles E Grassley,Ronald L Wyden,0.0,2.0,2
Charles E Grassley,Mitch Mcconnell,2.0,0.0,2
Charles E Grassley,Thomas R Carper,2.0,0.0,2
Charles E Grassley,Richard J Durbin,0.0,2.0,2
Charles E Grassley,Benjamin L Cardin,2.0,0.0,2
Charles E Grassley,James M Sen Inhofe,2.0,0.0,2
Charles E Grassley,John Boozman,2.0,0.0,2
Charles E Grassley,Shelley Moore Capito,2.0,0.0,2
Charles E Grassley,Chris Van Hollen,0.0,2.0,2
Charles E Grassley,Marsha Blackburn,2.0,0.0,2
Charles E Grassley,Christopher S Murphy,2.0,0.0,2
Charles E Grassley,Mazie Hirono,0.0,2.0,2
Charles E Grassley,Kirsten Elizabeth Gillibrand,2.0,0.0,2
Charles E Grassley,William M Cassidy,2.0,0.0,2
Charles E Grassley,Gary Peters,0.0,2.0,2
Charles E Grassley,Martin Trevor Heinrich,2.0,0.0,2
Charles E Grassley,Cory Gardner,2.0,0.0,2
Charles E Grassley,Todd Christopher Young,2.0,0.0,2
Charles E Grassley,James Paul Lankford,2.0,0.0,2
Charles E Grassley,Timothy E Scott,1.0,1.0,2
Charles E Grassley,Kyrsten Sinema,0.0,2.0,2
Charles E Grassley,Thomas Cotton,0.0,2.0,2
Charles E Grassley,L Tammy Duckworth,0.0,2.0,2
Charles E Grassley,Steven Daines,1.0,1.0,2
Charles E Grassley,Kevin Cramer,2.0,0.0,2
Charles E Grassley,Martha Mcsally,2.0,0.0,2
Charles E Grassley,Jacky Rosen,0.0,2.0,2
Charles E Grassley,John F Reed,0.0,2.0,2
Charles E Grassley,Bernard Sanders,2.0,0.0,2
Charles E Grassley,Michael Crapo,2.0,0.0,2
Charles E Grassley,Robert Menendez,2.0,0.0,2
Charles E Grassley,Rob Portman,1.0,1.0,2
Charles E Grassley,Sherrod Brown,0.0,2.0,2
Charles E Grassley,Roger F Wicker,2.0,0.0,2
Charles E Grassley,Richard M Burr,2.0,0.0,2
Charles E Grassley,Lindsey O Graham,2.0,0.0,2
Charles E Grassley,Jerry Moran,2.0,0.0,2
Charles E Grassley,Debbie Stabenow,0.0,2.0,2
Charles E Grassley,Roy Blunt,2.0,0.0,2
Charles E Grassley,John Thune,2.0,0.0,2
Charles E Grassley,John Hardy Isakson,2.0,0.0,2
Charles E Grassley,Tom Udall,0.0,2.0,2
Charles E Grassley,Patrick Joseph Toomey,2.0,0.0,2
Charles E Grassley,Tammy Baldwin,0.0,2.0,2
Charles E Grassley,Maria Cantwell,0.0,2.0,2
Charles E Grassley,Lisa Murkowski,2.0,0.0,2
Charles E Grassley,Lamar Alexander,2.0,0.0,2
Charles E Grassley,John Cornyn,2.0,0.0,2
Charles E Grassley,Amy Klobuchar,0.0,2.0,2
Charles E Grassley,Jon Tester,0.0,2.0,2
Charles E Grassley,Robert P Jr Casey,0.0,2.0,2
Charles E Grassley,Sheldon II Whitehouse,2.0,0.0,2
Charles E Grassley,John A Barrasso,2.0,0.0,2
Charles E Grassley,James E Risch,2.0,0.0,2
Charles E Grassley,Jeanne Shaheen,0.0,2.0,2
Charles E Grassley,Jeffrey Alan Merkley,2.0,0.0,2
Charles E Grassley,Mark Robert Warner,1.0,1.0,2
Charles E Grassley,Michael F Bennet,0.0,2.0,2
Charles E Grassley,Joe Manchin III,0.0,2.0,2
Charles E Grassley,Christopher A Coons,2.0,0.0,2
Charles E Grassley,Richard Blumenthal,1.0,1.0,2
Charles E Grassley,Marco Rubio,2.0,0.0,2
Charles E Grassley,Rand Paul,0.0,2.0,2
Charles E Grassley,John Hoeven,2.0,0.0,2
Charles E Grassley,Mike Lee,2.0,0.0,2
Charles E Grassley,Ronald Harold Johnson,0.0,2.0,2
Charles E Grassley,Brian Schatz,0.0,2.0,2
Charles E Grassley,Angus Stanley Jr King,2.0,0.0,2
Charles E Grassley,Elizabeth Warren,0.0,2.0,2
Charles E Grassley,Debra S Fischer,2.0,0.0,2
Charles E Grassley,Rafael Edward Ted Cruz,0.0,2.0,2
Charles E Grassley,Timothy Michael Kaine,2.0,0.0,2
Charles E Grassley,Cory A Booker,0.0,2.0,2
Charles E Grassley,Dan Sullivan,2.0,0.0,2
Charles E Grassley,David Perdue,2.0,0.0,2
Charles E Grassley,Joni K Ernst,2.0,0.0,2
Charles E Grassley,Benjamin E Sasse,2.0,0.0,2
Charles E Grassley,Thom R Tillis,1.0,1.0,2
Charles E Grassley,Mike Rounds,2.0,0.0,2
Charles E Grassley,Catherine Cortez Masto,2.0,0.0,2
Charles E Grassley,Kamala D Harris,0.0,2.0,2
Charles E Grassley,John Neely Kennedy,2.0,0.0,2
Charles E Grassley,Doug Jones,0.0,2.0,2
Charles E Grassley,Tina Flint Smith,0.0,2.0,2
Charles E Grassley,Cindy Hyde Smith,2.0,0.0,2
Charles E Grassley,Mike Braun,2.0,0.0,2
Charles E Grassley,Joshua David Hawley,2.0,0.0,2
Charles E Grassley,Mitt Willard Romney,2.0,0.0,2
Charles E Grassley,Rick Scott,2.0,0.0,2
Charles E Grassley,Kelly Loeffler,2.0,0.0,2
Charles E Grassley,Mark Kelly,0.0,2.0,2
Charles E Grassley,Dianne Feinstein,0.0,2.0,2
Charles E Grassley,Patty Murray,0.0,2.0,2
Charles E Grassley,Susan M Collins,1.0,1.0,2
Charles E Grassley,Michael B Enzi,2.0,0.0,2
Charles E Grassley,Richard C Shelby,2.0,0.0,2
Patrick J Leahy,Edward John Markey,2.0,0.0,2
Patrick J Leahy,Pat Roberts,0.0,2.0,2
Patrick J Leahy,Charles E Schumer,0.0,2.0,2
Patrick J Leahy,Ronald L Wyden,0.0,2.0,2
Patrick J Leahy,Mitch Mcconnell,1.0,1.0,2
Patrick J Leahy,Thomas R Carper,0.0,2.0,2
Patrick J Leahy,Richard J Durbin,0.0,2.0,2
Patrick J Leahy,Benjamin L Cardin,0.0,2.0,2
Patrick J Leahy,James M Sen Inhofe,0.0,2.0,2
Patrick J Leahy,John Boozman,0.0,2.0,2
Patrick J Leahy,Shelley Moore Capito,0.0,2.0,2
Patrick J Leahy,Chris Van Hollen,2.0,0.0,2
Patrick J Leahy,Marsha Blackburn,0.0,2.0,2
Patrick J Leahy,Christopher S Murphy,2.0,0.0,2
Patrick J Leahy,Mazie Hirono,2.0,0.0,2
Patrick J Leahy,Kirsten Elizabeth Gillibrand,2.0,0.0,2
Patrick J Leahy,William M Cassidy,0.0,2.0,2
Patrick J Leahy,Gary Peters,0.0,2.0,2
Patrick J Leahy,Martin Trevor Heinrich,0.0,2.0,2
Patrick J Leahy,Cory Gardner,0.0,2.0,2
Patrick J Leahy,Todd Christopher Young,0.0,2.0,2
Patrick J Leahy,James Paul Lankford,0.0,2.0,2
Patrick J Leahy,Timothy E Scott,0.0,2.0,2
Patrick J Leahy,Kyrsten Sinema,0.0,2.0,2
Patrick J Leahy,Thomas Cotton,0.0,2.0,2
Patrick J Leahy,L Tammy Duckworth,1.0,1.0,2
Patrick J Leahy,Steven Daines,0.0,2.0,2
