K,rank_within_K,layer,head
1,1,15,9
8,1,15,9
8,2,16,5
8,3,17,9
8,4,16,7
8,5,15,11
8,6,17,3
8,7,17,10
8,8,17,4
32,1,15,9
32,2,16,5
32,3,17,9
32,4,16,7
32,5,15,11
32,6,17,3
32,7,17,10
32,8,17,4
32,9,17,11
32,10,15,10
32,11,12,31
32,12,17,2
32,13,14,19
32,14,11,23
32,15,10,17
32,16,19,16
32,17,10,20
32,18,16,8
32,19,15,12
32,20,14,12
32,21,10,27
32,22,17,12
32,23,12,17
32,24,12,30
32,25,9,22
32,26,25,25
32,27,13,24
32,28,17,1
32,29,14,20
32,30,10,16
32,31,19,15
32,32,12,20
64,1,15,9
64,2,16,5
64,3,17,9
64,4,16,7
64,5,15,11
64,6,17,3
64,7,17,10
64,8,17,4
64,9,17,11
64,10,15,10
64,11,12,31
64,12,17,2
64,13,14,19
64,14,11,23
64,15,10,17
64,16,19,16
64,17,10,20
64,18,16,8
64,19,15,12
64,20,14,12
64,21,10,27
64,22,17,12
64,23,12,17
64,24,12,30
64,25,9,22
64,26,25,25
64,27,13,24
64,28,17,1
64,29,14,20
64,30,10,16
64,31,19,15
64,32,12,20
64,33,10,18
64,34,32,28
64,35,24,20
64,36,12,19
64,37,19,13
64,38,16,30
64,39,24,7
64,40,29,9
64,41,13,23
64,42,10,19
64,43,14,18
64,44,27,28
64,45,19,14
64,46,14,25
64,47,22,22
64,48,12,18
64,49,31,29
64,50,10,24
64,51,11,24
64,52,10,28
64,53,15,1
64,54,14,17
64,55,13,28
64,56,24,23
64,57,28,3
64,58,17,25
64,59,10,15
64,60,25,23
64,61,18,7
64,62,22,24
64,63,18,3
64,64,25,24
96,1,15,9
96,2,16,5
96,3,17,9
96,4,16,7
96,5,15,11
96,6,17,3
96,7,17,10
96,8,17,4
96,9,17,11
96,10,15,10
96,11,12,31
96,12,17,2
96,13,14,19
96,14,11,23
96,15,10,17
96,16,19,16
96,17,10,20
96,18,16,8
96,19,15,12
96,20,14,12
96,21,10,27
96,22,17,12
96,23,12,17
96,24,12,30
96,25,9,22
96,26,25,25
96,27,13,24
96,28,17,1
96,29,14,20
96,30,10,16
96,31,19,15
96,32,12,20
96,33,10,18
96,34,32,28
96,35,24,20
96,36,12,19
96,37,19,13
96,38,16,30
96,39,24,7
96,40,29,9
96,41,13,23
96,42,10,19
96,43,14,18
96,44,27,28
96,45,19,14
96,46,14,25
96,47,22,22
96,48,12,18
96,49,31,29
96,50,10,24
96,51,11,24
96,52,10,28
96,53,15,1
96,54,14,17
96,55,13,28
96,56,24,23
96,57,28,3
96,58,17,25
96,59,10,15
96,60,25,23
96,61,18,7
96,62,22,24
96,63,18,3
96,64,25,24
96,65,13,21
96,66,14,4
96,67,16,29
96,68,27,25
96,69,16,10
96,70,32,27
96,71,17,32
96,72,20,32
96,73,25,28
96,74,26,9
96,75,24,4
96,76,26,1
96,77,10,3
96,78,20,30
96,79,8,32
96,80,26,4
96,81,8,14
96,82,14,11
96,83,12,29
96,84,20,15
96,85,20,31
96,86,24,17
96,87,14,26
96,88,16,6
96,89,31,20
96,90,32,26
96,91,10,13
96,92,14,2
96,93,12,32
96,94,8,16
96,95,25,21
96,96,10,23
