layer,head,spearman_cv
15,12,0.7874768972396851
15,11,0.7852113246917725
15,9,0.7845881581306458
10,18,0.7794570922851562
17,9,0.7765216827392578
15,10,0.7704238295555115
10,20,0.7670283317565918
14,12,0.7623282670974731
14,19,0.7623224258422852
12,31,0.7608489394187927
16,5,0.759451150894165
10,17,0.7568244338035583
12,29,0.7488686442375183
14,11,0.7484842538833618
12,20,0.7483503222465515
16,7,0.7475582361221313
13,23,0.7473194599151611
17,2,0.7415768504142761
11,23,0.7343665361404419
12,30,0.7303420305252075
12,19,0.7296780943870544
11,24,0.7293286323547363
16,29,0.7282162308692932
17,10,0.7278376817703247
10,15,0.7276862263679504
18,28,0.726527214050293
17,11,0.7264631986618042
18,24,0.7264107465744019
12,17,0.7258807420730591
31,29,0.7244305610656738
14,27,0.724220871925354
14,18,0.7240752577781677
17,4,0.7239296436309814
10,28,0.7235219478607178
18,3,0.7231026291847229
16,8,0.7203536629676819
19,16,0.719031572341919
25,25,0.7179016470909119
17,3,0.7177735567092896
10,27,0.7176395654678345
10,13,0.7170105576515198
12,21,0.716934859752655
12,7,0.7163524627685547
10,16,0.7159913778305054
14,9,0.7157059907913208
32,27,0.7155429124832153
27,28,0.7142615914344788
30,28,0.7140461206436157
10,19,0.713964581489563
11,31,0.7138364315032959
14,26,0.7133763432502747
14,20,0.7115766406059265
19,12,0.7098993062973022
12,18,0.708757758140564
11,22,0.7080122828483582
15,1,0.705769956111908
13,21,0.7055836319923401
12,32,0.7047507762908936
19,11,0.7045119404792786
24,20,0.7034345269203186
11,9,0.7033762335777283
25,23,0.7027181386947632
27,25,0.7024094462394714
17,1,0.7019842863082886
10,24,0.7017163634300232
31,31,0.6999807953834534
11,10,0.6998410224914551
19,14,0.6977792382240295
18,26,0.6974123120307922
17,12,0.695962131023407
10,14,0.6950185894966125
15,27,0.6934519410133362
18,1,0.6933470964431763
16,28,0.6913785338401794
32,10,0.6905806064605713
25,5,0.6903767585754395
9,22,0.6900680661201477
27,22,0.6900039911270142
8,32,0.6884955763816833
23,20,0.6883558034896851
14,25,0.687913179397583
20,15,0.6875753402709961
16,26,0.6872142553329468
18,2,0.687132716178894
22,22,0.6870395541191101
32,12,0.686911404132843
16,6,0.6861775517463684
20,32,0.6857756972312927
24,7,0.6850767731666565
13,25,0.6846749186515808
26,5,0.6842031478881836
12,22,0.6836032867431641
12,28,0.682700514793396
25,21,0.6825549602508545
18,7,0.682386040687561
24,23,0.6821355819702148
29,12,0.6819899678230286
29,5,0.6798700094223022
19,15,0.6792584657669067
13,24,0.6787459254264832
29,23,0.6787168383598328
15,4,0.67818683385849
12,5,0.6776859760284424
27,26,0.6773714423179626
11,30,0.6767249703407288
11,25,0.6762998104095459
24,24,0.6759911179542542
15,2,0.6752689480781555
13,22,0.6751349568367004
19,18,0.6748146414756775
16,12,0.6744127869606018
19,10,0.6743021011352539
20,16,0.6738245487213135
17,25,0.6724791526794434
10,22,0.6719491481781006
10,23,0.6710813641548157
17,20,0.6695321202278137
11,32,0.6694156527519226
31,22,0.6693981885910034
14,4,0.669235110282898
27,27,0.6688041090965271
24,26,0.668472170829773
24,12,0.6683847904205322
30,26,0.6671791672706604
29,28,0.6662822961807251
10,4,0.6659502983093262
15,25,0.665921151638031
27,24,0.6652572154998779
20,30,0.6651873588562012
12,24,0.6636381149291992
12,26,0.6634168028831482
25,24,0.6617743968963623
13,26,0.6608716249465942
13,28,0.6608075499534607
20,14,0.6592350602149963
19,13,0.6590545177459717
20,1,0.6587050557136536
29,15,0.6584488153457642
30,27,0.6579013466835022
32,21,0.6568937301635742
20,31,0.6567714214324951
18,4,0.6549892425537109
16,11,0.6547446250915527
12,8,0.654435932636261
14,16,0.6539933085441589
30,1,0.6530032157897949
25,29,0.6519490480422974
32,23,0.6512501239776611
16,10,0.6502600312232971
17,31,0.650143563747406
22,21,0.6497533321380615
13,30,0.6496543288230896
32,28,0.6487923860549927
11,28,0.6486409306526184
11,29,0.6464452147483826
32,2,0.6450183391571045
26,1,0.6445873379707336
24,8,0.6443834900856018
11,12,0.6442611813545227
30,14,0.6441912651062012
19,19,0.6432477831840515
14,17,0.64317786693573
31,30,0.643084704875946
18,25,0.642857551574707
23,18,0.6421295404434204
15,28,0.6416927576065063
20,13,0.6414481401443481
12,6,0.6410054564476013
26,19,0.6408016085624695
32,13,0.640638530254364
32,9,0.6401609778404236
10,26,0.6398173570632935
18,21,0.6386758089065552
27,16,0.6381807923316956
11,2,0.6380875706672668
11,21,0.6375983357429504
13,27,0.6372372508049011
27,29,0.6363636255264282
21,2,0.6357812285423279
28,8,0.6356297731399536
15,26,0.6355948448181152
10,25,0.6354783773422241
25,9,0.6338475942611694
17,30,0.6325721144676208
13,2,0.6313897967338562
18,23,0.6313432455062866
12,25,0.6300560832023621
29,7,0.6294853091239929
30,30,0.6290426850318909
23,23,0.6286408305168152
31,20,0.6274643540382385
24,19,0.6267013549804688
12,10,0.6266023516654968
28,14,0.6264975070953369
16,30,0.6262820363044739
16,18,0.6258161067962646
14,2,0.6253851056098938
32,24,0.6253560185432434
29,9,0.6244416236877441
23,24,0.6237893104553223
30,3,0.6237834692001343
12,16,0.6232360005378723
24,25,0.6221759915351868
29,13,0.6218498945236206
32,11,0.6217683553695679
31,16,0.6213955879211426
10,3,0.6211917400360107
16,17,0.6206384301185608
17,13,0.6205161213874817
19,9,0.6198172569274902
25,2,0.6189144849777222
10,5,0.6187456250190735
11,27,0.617359459400177
31,7,0.6172662377357483
18,14,0.616043210029602
30,32,0.6159558296203613
26,10,0.6151637434959412
29,14,0.6148667335510254
17,16,0.6147385835647583
18,27,0.6145114302635193
13,31,0.613381564617157
8,30,0.6125020980834961
27,21,0.6122691631317139
19,6,0.6122400164604187
12,13,0.6114013195037842
14,13,0.6107548475265503
29,6,0.6102365255355835
25,22,0.6099395155906677
32,14,0.609298825263977
20,4,0.6088212728500366
17,32,0.6079359650611877
32,22,0.6070507168769836
24,5,0.6064857840538025
12,12,0.6063401699066162
18,15,0.6060256361961365
20,27,0.6059266328811646
17,15,0.6054898500442505
18,18,0.6049190759658813
11,11,0.6044531464576721
22,23,0.6037600636482239
9,24,0.6037251353263855
18,5,0.6032300591468811
13,1,0.6031659841537476
17,29,0.6026418209075928
23,12,0.6025428175926208
17,5,0.6023738980293274
20,22,0.6007722616195679
21,20,0.6005393266677856
15,3,0.5995084643363953
15,22,0.5994618535041809
30,7,0.5993279218673706
16,4,0.5987513065338135
29,11,0.5982096791267395
28,3,0.5981164574623108
29,31,0.5975340604782104
28,2,0.5961421132087708
15,24,0.5953500270843506
22,24,0.595285952091217
11,1,0.5945229530334473
19,8,0.594394862651825
29,22,0.5940279364585876
17,28,0.5928048491477966
26,6,0.5919603705406189
24,27,0.59162837266922
15,15,0.5913196802139282
30,29,0.591302216053009
12,15,0.5911042094230652
27,32,0.5904577374458313
25,28,0.5899102687835693
16,32,0.5895608067512512
18,16,0.5892754197120667
28,31,0.5869923233985901
22,28,0.5864623785018921
24,6,0.5864565372467041
30,15,0.5863983035087585
21,26,0.5861711502075195
30,9,0.5857692956924438
26,9,0.5847616791725159
28,16,0.5842433571815491
26,22,0.5832532644271851
18,8,0.5820127129554749
8,14,0.5813895463943481
11,26,0.5804169178009033
17,7,0.5800616145133972
23,21,0.579380214214325
31,15,0.5760080218315125
13,15,0.5757924914360046
24,18,0.5751810073852539
31,11,0.5749946236610413
25,18,0.5747966170310974
26,24,0.5732939839363098
21,25,0.5725018978118896
24,17,0.5721873641014099
15,21,0.5715875029563904
16,20,0.5712846517562866
12,23,0.5709526538848877
17,14,0.5705915689468384
16,9,0.5704517960548401
28,10,0.5703120231628418
14,1,0.5688734650611877
26,4,0.5667592883110046
30,31,0.5667068362236023
26,2,0.5663282871246338
30,2,0.5658798217773438
10,32,0.5658623576164246
16,3,0.5658448934555054
28,23,0.5653905868530273
14,14,0.5650120377540588
18,12,0.5649712681770325
31,6,0.5634744763374329
17,26,0.5633230209350586
13,29,0.5630260109901428
8,29,0.5621989369392395
31,23,0.5618669986724854
28,21,0.5608826875686646
16,2,0.5604225993156433
26,3,0.5603235960006714
28,9,0.5599100589752197
31,14,0.5597062110900879
8,31,0.5595897436141968
11,8,0.5592111945152283
11,4,0.5591238141059875
18,22,0.5579357147216797
31,18,0.5573532581329346
19,20,0.5573183298110962
14,22,0.5572542548179626
12,14,0.5571960210800171
27,23,0.556520402431488
11,3,0.555856466293335
26,31,0.5546100735664368
13,10,0.554307222366333
32,26,0.5537365078926086
26,23,0.5534161329269409
31,32,0.553002655506134
28,18,0.5506787896156311
12,9,0.5499274730682373
24,10,0.549339234828949
13,16,0.5473124384880066
32,25,0.5466077327728271
26,21,0.5458505749702454
9,11,0.545821487903595
31,17,0.5455710291862488
28,12,0.5455535650253296
24,4,0.5452041029930115
28,5,0.5447556376457214
11,7,0.5445227026939392
9,13,0.5444120168685913
30,16,0.544278085231781
14,21,0.5440101623535156
16,23,0.5438820123672485
24,28,0.543491780757904
27,31,0.5434160828590393
25,17,0.5411912798881531
28,19,0.5411038994789124
20,24,0.5407952070236206
25,30,0.5391120314598083
29,16,0.5390188694000244
32,15,0.538855791091919
13,9,0.5386403203010559
31,12,0.5384539365768433
28,32,0.5383432507514954
30,5,0.537766695022583
29,21,0.5374463200569153
28,24,0.5367066860198975
24,1,0.5360602140426636
14,28,0.5355010628700256
28,7,0.535320520401001
17,23,0.5349535942077637
19,5,0.5337480306625366
13,14,0.5331131815910339
28,25,0.5330491065979004
22,32,0.5329967141151428
