layer,head,spearman_cv
10,20,0.7314602732658386
14,19,0.7266728281974792
10,28,0.7264864444732666
15,11,0.7180647253990173
13,24,0.7179540991783142
11,22,0.7163583040237427
29,5,0.7119784951210022
10,22,0.7108777761459351
17,9,0.6978957653045654
25,25,0.6972900032997131
15,12,0.6970279216766357
10,18,0.6960319876670837
16,26,0.6937664151191711
25,23,0.6920832395553589
11,29,0.6904990673065186
13,23,0.6850767731666565
20,16,0.6814134120941162
14,12,0.6804698705673218
31,22,0.6798700094223022
14,11,0.6789381504058838
24,23,0.6784256100654602
15,21,0.6775694489479065
10,19,0.6766142845153809
10,17,0.6762648820877075
27,27,0.6748903393745422
12,31,0.6746107935905457
11,32,0.6745874881744385
10,24,0.6745234131813049
16,29,0.6740458607673645
15,9,0.6666200757026672
15,4,0.666381299495697
17,20,0.6662589907646179
17,10,0.6656299829483032
18,21,0.665478527545929
11,30,0.6630498766899109
12,13,0.6628809571266174
20,15,0.6617977023124695
13,28,0.6617627143859863
26,6,0.6614249348640442
12,17,0.6613259315490723
19,22,0.660959005355835
12,18,0.6608075499534607
14,27,0.6605979204177856
12,23,0.6602309942245483
26,29,0.6586351990699768
26,10,0.6576741933822632
17,31,0.6562472581863403
25,18,0.6562297940254211
20,32,0.6561482548713684
23,18,0.655653178691864
19,19,0.6537196040153503
19,16,0.6533409953117371
10,16,0.6521587371826172
14,16,0.6514714956283569
16,28,0.6493922472000122
30,28,0.6482157707214355
25,5,0.64815753698349
14,25,0.6466257572174072
18,3,0.6443427205085754
13,1,0.6440457105636597
12,26,0.6437137126922607
14,20,0.6433001756668091
20,25,0.6432186365127563
23,20,0.6423100829124451
19,18,0.642187774181366
12,19,0.6399163603782654
13,31,0.6375226378440857
31,31,0.6353327631950378
28,7,0.6352919936180115
12,20,0.6351172924041748
12,6,0.6347911357879639
12,29,0.6347270607948303
12,32,0.6344009041786194
12,7,0.634127140045166
11,23,0.6340980529785156
10,23,0.6337660551071167
12,16,0.6320362687110901
10,27,0.6312209367752075
20,14,0.6289902925491333
10,13,0.6279826760292053
32,21,0.627941906452179
15,10,0.6269052028656006
