K,rank_within_K,layer,head
1,1,15,12
8,1,15,12
8,2,15,11
8,3,15,9
8,4,10,18
8,5,17,9
8,6,15,10
8,7,10,20
8,8,14,12
32,1,15,12
32,2,15,11
32,3,15,9
32,4,10,18
32,5,17,9
32,6,15,10
32,7,10,20
32,8,14,12
32,9,14,19
32,10,12,31
32,11,16,5
32,12,10,17
32,13,12,29
32,14,14,11
32,15,12,20
32,16,16,7
32,17,13,23
32,18,17,2
32,19,11,23
32,20,12,30
32,21,12,19
32,22,11,24
32,23,16,29
32,24,17,10
32,25,10,15
32,26,18,28
32,27,17,11
32,28,18,24
32,29,12,17
32,30,31,29
32,31,14,27
32,32,14,18
64,1,15,12
64,2,15,11
64,3,15,9
64,4,10,18
64,5,17,9
64,6,15,10
64,7,10,20
64,8,14,12
64,9,14,19
64,10,12,31
64,11,16,5
64,12,10,17
64,13,12,29
64,14,14,11
64,15,12,20
64,16,16,7
64,17,13,23
64,18,17,2
64,19,11,23
64,20,12,30
64,21,12,19
64,22,11,24
64,23,16,29
64,24,17,10
64,25,10,15
64,26,18,28
64,27,17,11
64,28,18,24
64,29,12,17
64,30,31,29
64,31,14,27
64,32,14,18
64,33,17,4
64,34,10,28
64,35,18,3
64,36,16,8
64,37,19,16
64,38,25,25
64,39,17,3
64,40,10,27
64,41,10,13
64,42,12,21
64,43,12,7
64,44,10,16
64,45,14,9
64,46,32,27
64,47,27,28
64,48,30,28
64,49,10,19
64,50,11,31
64,51,14,26
64,52,14,20
64,53,19,12
64,54,12,18
64,55,11,22
64,56,15,1
64,57,13,21
64,58,12,32
64,59,19,11
64,60,24,20
64,61,11,9
64,62,25,23
64,63,27,25
64,64,17,1
96,1,15,12
96,2,15,11
96,3,15,9
96,4,10,18
96,5,17,9
96,6,15,10
96,7,10,20
96,8,14,12
96,9,14,19
96,10,12,31
96,11,16,5
96,12,10,17
96,13,12,29
96,14,14,11
96,15,12,20
96,16,16,7
96,17,13,23
96,18,17,2
96,19,11,23
96,20,12,30
96,21,12,19
96,22,11,24
96,23,16,29
96,24,17,10
96,25,10,15
96,26,18,28
96,27,17,11
96,28,18,24
96,29,12,17
96,30,31,29
96,31,14,27
96,32,14,18
96,33,17,4
96,34,10,28
96,35,18,3
96,36,16,8
96,37,19,16
96,38,25,25
96,39,17,3
96,40,10,27
96,41,10,13
96,42,12,21
96,43,12,7
96,44,10,16
96,45,14,9
96,46,32,27
96,47,27,28
96,48,30,28
96,49,10,19
96,50,11,31
96,51,14,26
96,52,14,20
96,53,19,12
96,54,12,18
96,55,11,22
96,56,15,1
96,57,13,21
96,58,12,32
96,59,19,11
96,60,24,20
96,61,11,9
96,62,25,23
96,63,27,25
96,64,17,1
96,65,10,24
96,66,31,31
96,67,11,10
96,68,19,14
96,69,18,26
96,70,17,12
96,71,10,14
96,72,15,27
96,73,18,1
96,74,16,28
96,75,32,10
96,76,25,5
96,77,9,22
96,78,27,22
96,79,8,32
96,80,23,20
96,81,14,25
96,82,20,15
96,83,16,26
96,84,18,2
96,85,22,22
96,86,32,12
96,87,16,6
96,88,20,32
96,89,24,7
96,90,13,25
96,91,26,5
96,92,12,22
96,93,12,28
96,94,25,21
96,95,18,7
96,96,24,23
