layer,head,spearman_cv
16,5,0.6486774682998657
17,4,0.6125553846359253
16,8,0.6105401515960693
15,12,0.6052226424217224
17,9,0.5793046355247498
17,1,0.5779010057449341
19,20,0.5693626403808594
25,4,0.5629035234451294
17,10,0.561860978603363
17,3,0.5601661205291748
19,16,0.5596535801887512
19,17,0.5594905018806458
16,2,0.5560192465782166
16,4,0.5559318661689758
15,2,0.5537943840026855
16,1,0.5522567629814148
28,10,0.5506259799003601
12,30,0.5441086292266846
13,11,0.543357253074646
27,21,0.5423147082328796
14,11,0.5402121543884277
25,9,0.5387153625488281
15,4,0.5385522842407227
14,12,0.5362342000007629
17,2,0.5337181091308594
17,12,0.5333744883537292
20,16,0.5287616848945618
26,3,0.52700275182724
9,22,0.526548445224762
15,11,0.5261989831924438
20,31,0.5221278667449951
15,1,0.5220754146575928
25,11,0.5213590264320374
6,25,0.5207241773605347
25,23,0.5191690921783447
10,27,0.5173403024673462
22,21,0.516082227230072
23,16,0.5089242458343506
24,19,0.5083068609237671
29,22,0.5038571357727051
17,11,0.5037173628807068
23,14,0.503635823726654
32,14,0.5023428201675415
20,32,0.502185583114624
12,18,0.5011954307556152
25,2,0.5006712675094604
27,22,0.49958792328834534
15,10,0.49597689509391785
19,10,0.4955750107765198
24,7,0.49375203251838684
9,20,0.4935831129550934
28,5,0.49289584159851074
19,15,0.49141067266464233
11,29,0.49102044105529785
14,1,0.4899487793445587
6,28,0.488859623670578
16,31,0.488090842962265
24,5,0.4865241050720215
8,14,0.48596498370170593
11,32,0.48546990752220154
16,10,0.48421186208724976
17,29,0.4825170040130615
30,5,0.48247623443603516
10,15,0.4796922504901886
30,7,0.47838178277015686
14,2,0.4778168201446533
8,12,0.4771179258823395
19,18,0.4737573266029358
28,6,0.4726099371910095
14,25,0.4695638418197632
8,15,0.46850383281707764
19,14,0.4683989882469177
12,17,0.46838152408599854
25,25,0.4664478600025177
30,12,0.4644559621810913
12,29,0.46339595317840576
26,2,0.46218451857566833
21,23,0.46180593967437744
20,1,0.4613749384880066
12,24,0.460641086101532
19,19,0.4599072337150574
32,15,0.4590510427951813
32,16,0.45820072293281555
21,26,0.45818907022476196
24,27,0.4581424593925476
31,31,0.4579036831855774
26,16,0.45782214403152466
15,3,0.4573096036911011
25,1,0.4561505615711212
29,14,0.4556671679019928
16,32,0.4555797874927521
23,13,0.45438000559806824
17,30,0.45154356956481934
10,25,0.4514271020889282
31,29,0.4509961009025574
14,8,0.450728178024292
20,14,0.4504835605621338
30,28,0.4499652087688446
19,13,0.4481247365474701
24,24,0.4479849636554718
28,19,0.44691911339759827
12,19,0.44632503390312195
13,23,0.44620272517204285
24,20,0.44545722007751465
32,22,0.44506698846817017
20,28,0.44435060024261475
27,25,0.4436225891113281
10,28,0.443319708108902
18,12,0.4415374994277954
11,23,0.4412171542644501
16,3,0.43986010551452637
12,20,0.4390505254268646
10,21,0.4386894106864929
14,26,0.4384739398956299
27,3,0.43764689564704895
24,22,0.4364995062351227
25,24,0.436359703540802
31,32,0.43630731105804443
10,14,0.43618500232696533
27,23,0.4356025755405426
18,15,0.4337562620639801
27,4,0.4331272542476654
11,26,0.4326438307762146
20,30,0.43235844373703003
15,9,0.43059951066970825
22,27,0.4303840100765228
31,30,0.4292948842048645
12,32,0.4286542236804962
16,29,0.4282057583332062
31,11,0.4279203712940216
8,10,0.4277747571468353
22,28,0.42613813281059265
9,23,0.4256022870540619
20,13,0.4251713156700134
18,13,0.42464131116867065
16,7,0.4245713949203491
22,22,0.4238142669200897
16,30,0.42190971970558167
19,6,0.4216184914112091
15,26,0.41995859146118164
11,25,0.4196324348449707
29,4,0.41934704780578613
14,5,0.4180074632167816
21,24,0.41760557889938354
10,18,0.4170406460762024
24,8,0.4166911840438843
17,32,0.41659799218177795
26,14,0.4164349138736725
22,16,0.4162776470184326
13,24,0.4154506027698517
13,9,0.4150370955467224
11,30,0.4129811227321625
12,21,0.41240450739860535
26,26,0.4114901125431061
9,18,0.41127461194992065
26,13,0.4112047255039215
28,8,0.41103580594062805
