K,rank_within_K,layer,head
1,1,16,5
8,1,16,5
8,2,17,4
8,3,16,8
8,4,15,12
8,5,17,9
8,6,17,1
8,7,19,20
8,8,25,4
32,1,16,5
32,2,17,4
32,3,16,8
32,4,15,12
32,5,17,9
32,6,17,1
32,7,19,20
32,8,25,4
32,9,17,10
32,10,17,3
32,11,19,16
32,12,19,17
32,13,16,2
32,14,16,4
32,15,15,2
32,16,16,1
32,17,28,10
32,18,12,30
32,19,13,11
32,20,27,21
32,21,14,11
32,22,25,9
32,23,15,4
32,24,14,12
32,25,17,2
32,26,17,12
32,27,20,16
32,28,26,3
32,29,9,22
32,30,15,11
32,31,20,31
32,32,15,1
64,1,16,5
64,2,17,4
64,3,16,8
64,4,15,12
64,5,17,9
64,6,17,1
64,7,19,20
64,8,25,4
64,9,17,10
64,10,17,3
64,11,19,16
64,12,19,17
64,13,16,2
64,14,16,4
64,15,15,2
64,16,16,1
64,17,28,10
64,18,12,30
64,19,13,11
64,20,27,21
64,21,14,11
64,22,25,9
64,23,15,4
64,24,14,12
64,25,17,2
64,26,17,12
64,27,20,16
64,28,26,3
64,29,9,22
64,30,15,11
64,31,20,31
64,32,15,1
64,33,25,11
64,34,6,25
64,35,25,23
64,36,10,27
64,37,22,21
64,38,23,16
64,39,24,19
64,40,29,22
64,41,17,11
64,42,23,14
64,43,32,14
64,44,20,32
64,45,12,18
64,46,25,2
64,47,27,22
64,48,15,10
64,49,19,10
64,50,24,7
64,51,9,20
64,52,28,5
64,53,19,15
64,54,11,29
64,55,14,1
64,56,6,28
64,57,16,31
64,58,24,5
64,59,8,14
64,60,11,32
64,61,16,10
64,62,17,29
64,63,30,5
64,64,10,15
96,1,16,5
96,2,17,4
96,3,16,8
96,4,15,12
96,5,17,9
96,6,17,1
96,7,19,20
96,8,25,4
96,9,17,10
96,10,17,3
96,11,19,16
96,12,19,17
96,13,16,2
96,14,16,4
96,15,15,2
96,16,16,1
96,17,28,10
96,18,12,30
96,19,13,11
96,20,27,21
96,21,14,11
96,22,25,9
96,23,15,4
96,24,14,12
96,25,17,2
96,26,17,12
96,27,20,16
96,28,26,3
96,29,9,22
96,30,15,11
96,31,20,31
96,32,15,1
96,33,25,11
96,34,6,25
96,35,25,23
96,36,10,27
96,37,22,21
96,38,23,16
96,39,24,19
96,40,29,22
96,41,17,11
96,42,23,14
96,43,32,14
96,44,20,32
96,45,12,18
96,46,25,2
96,47,27,22
96,48,15,10
96,49,19,10
96,50,24,7
96,51,9,20
96,52,28,5
96,53,19,15
96,54,11,29
96,55,14,1
96,56,6,28
96,57,16,31
96,58,24,5
96,59,8,14
96,60,11,32
96,61,16,10
96,62,17,29
96,63,30,5
96,64,10,15
96,65,30,7
96,66,14,2
96,67,8,12
96,68,19,18
96,69,28,6
96,70,14,25
96,71,8,15
96,72,19,14
96,73,12,17
96,74,25,25
96,75,30,12
96,76,12,29
96,77,26,2
96,78,21,23
96,79,20,1
96,80,12,24
96,81,19,19
96,82,32,15
96,83,32,16
96,84,21,26
96,85,24,27
96,86,31,31
96,87,26,16
96,88,15,3
96,89,25,1
96,90,29,14
96,91,16,32
96,92,23,13
96,93,17,30
96,94,10,25
96,95,31,29
96,96,14,8
